invoice_id,invoice_number,supplier_id,supplier_name,department_id,department_name,invoice_date,invoice_amount,paid_flag,audit_risk_score,audit_risk_level,Rule_Code,Rule_Name,Risk_Category,Severity,Risk_Weight,Rule_Description
INV0000080,FCT-203263,SUP00036,Supplier_0036,DPT002,Procurement,2024-07-26,2503.97,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000083,FCT-127720,SUP00307,Supplier_0307,DPT001,Finance,2024-05-27,8856.68,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000084,FCT-958190,SUP00016,Supplier_0016,DPT011,Logistics,2024-12-06,2050.76,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000091,FCT-725045,SUP00001,Supplier_0001,DPT005,Sales,2024-03-05,4401.17,1,15.59,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000098,FCT-598159,SUP00028,Supplier_0028,DPT003,IT,2024-11-30,17130.78,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000100,FCT-169866,SUP00021,Supplier_0021,DPT008,Legal,2024-12-07,3791.91,1,14.52,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000101,FCT-219104,SUP00215,Supplier_0215,DPT005,Sales,2024-10-28,1545.8,1,18.82,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000105,FCT-752653,SUP00016,Supplier_0016,DPT010,Customer Support,2024-02-09,3285.94,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000107,FCT-880702,SUP00267,Supplier_0267,DPT003,IT,2024-04-06,10446.52,0,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000108,FCT-804461,SUP00189,Supplier_0189,DPT002,Procurement,2024-12-13,9072.24,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000110,FCT-430607,SUP00023,Supplier_0023,DPT006,Marketing,2024-11-21,20000.0,0,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000113,FCT-899197,SUP00021,Supplier_0021,DPT005,Sales,2024-09-11,16831.68,1,15.05,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000124,FCT-552742,SUP00023,Supplier_0023,DPT004,Operations,2024-04-28,11862.01,1,19.35,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000128,FCT-168838,SUP00007,Supplier_0007,DPT002,Procurement,2024-01-10,2023.75,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000150,FCT-442494,SUP00006,Supplier_0006,DPT003,IT,2024-07-23,5220.53,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000157,FCT-871295,SUP00009,Supplier_0009,DPT003,IT,2024-02-24,124743.75,1,18.82,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000158,FCT-421891,SUP00173,Supplier_0173,DPT004,Operations,2024-07-13,3834.32,1,10.22,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000165,FCT-397938,SUP00005,Supplier_0005,DPT012,General Administration,2024-08-30,4131.01,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000177,FCT-680338,SUP00056,Supplier_0056,DPT001,Finance,2024-09-14,3367.28,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000180,FCT-217870,SUP00025,Supplier_0025,DPT011,Logistics,2024-06-10,3131.22,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000183,FCT-262316,SUP00122,Supplier_0122,DPT006,Marketing,2024-01-25,7699.07,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000188,FCT-500892,SUP00003,Supplier_0003,DPT008,Legal,2024-06-11,50465.89,1,15.05,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000192,FCT-359397,SUP00017,Supplier_0017,DPT002,Procurement,2024-02-29,6633.4,1,14.52,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000211,FCT-778727,SUP00015,Supplier_0015,DPT002,Procurement,2024-05-03,5152.77,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000214,FCT-860849,SUP00204,Supplier_0204,DPT007,Human Resources,2024-08-06,31909.21,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000218,FCT-863239,SUP00286,Supplier_0286,DPT002,Procurement,2024-10-27,8932.59,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000223,FCT-517643,SUP00010,Supplier_0010,DPT007,Human Resources,2024-07-06,5618.2,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000224,FCT-765270,SUP00242,Supplier_0242,DPT004,Operations,2024-05-20,3253.18,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000234,FCT-614071,SUP00008,Supplier_0008,DPT012,General Administration,2024-01-24,11154.98,1,12.37,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000243,FCT-182825,SUP00002,Supplier_0002,DPT004,Operations,2024-12-05,1197.29,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000244,FCT-244185,SUP00085,Supplier_0085,DPT009,Risk Management,2024-06-16,2406.75,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000252,FCT-443974,SUP00014,Supplier_0014,DPT010,Customer Support,2024-04-21,8140.84,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000255,FCT-920427,SUP00003,Supplier_0003,DPT003,IT,2024-08-04,25000.0,1,15.59,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000264,FCT-852710,SUP00018,Supplier_0018,DPT006,Marketing,2024-01-25,1711.16,0,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000265,FCT-321310,SUP00030,Supplier_0030,DPT007,Human Resources,2024-05-23,6092.78,1,14.52,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000268,FCT-243104,SUP00091,Supplier_0091,DPT005,Sales,2024-12-17,35605.24,1,12.37,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000269,FCT-508925,SUP00060,Supplier_0060,DPT002,Procurement,2024-05-01,414.35,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000271,FCT-929984,SUP00087,Supplier_0087,DPT003,IT,2024-12-16,19802.81,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000272,FCT-263671,SUP00006,Supplier_0006,DPT002,Procurement,2024-05-08,17773.22,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000275,FCT-381735,SUP00074,Supplier_0074,DPT001,Finance,2024-11-11,5119.67,1,18.82,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000278,FCT-510456,SUP00004,Supplier_0004,DPT001,Finance,2024-06-23,6092.46,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000279,FCT-292760,SUP00256,Supplier_0256,DPT008,Legal,2024-06-04,1140.23,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000282,FCT-129178,SUP00010,Supplier_0010,DPT006,Marketing,2024-11-01,1600.97,1,16.13,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000285,FCT-761466,SUP00228,Supplier_0228,DPT004,Operations,2024-11-17,28899.33,1,12.37,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000289,FCT-791626,SUP00231,Supplier_0231,DPT008,Legal,2024-01-22,13673.97,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000292,FCT-688412,SUP00002,Supplier_0002,DPT011,Logistics,2024-11-12,3884.65,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000298,FCT-908263,SUP00003,Supplier_0003,DPT002,Procurement,2024-11-04,7721.69,1,18.28,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000312,FCT-379528,SUP00017,Supplier_0017,DPT002,Procurement,2024-03-23,1532.68,1,18.28,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000336,FCT-348425,SUP00015,Supplier_0015,DPT005,Sales,2024-07-26,35973.29,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000338,FCT-366391,SUP00003,Supplier_0003,DPT002,Procurement,2024-12-05,13059.14,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000362,FCT-586650,SUP00164,Supplier_0164,DPT012,General Administration,2024-04-13,12772.68,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000363,FCT-163657,SUP00039,Supplier_0039,DPT004,Operations,2024-08-12,24400.37,1,17.74,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000369,FCT-293205,SUP00003,Supplier_0003,DPT009,Risk Management,2024-06-06,5028.84,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000384,FCT-698667,SUP00096,Supplier_0096,DPT003,IT,2024-06-27,7096.98,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000386,FCT-335805,SUP00015,Supplier_0015,DPT003,IT,2024-04-04,4755.25,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000388,FCT-255271,SUP00235,Supplier_0235,DPT007,Human Resources,2024-05-02,20000.0,1,12.37,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000390,FCT-542784,SUP00002,Supplier_0002,DPT006,Marketing,2024-09-21,20000.0,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000393,FCT-908562,SUP00211,Supplier_0211,DPT012,General Administration,2024-03-08,11130.09,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000394,FCT-951846,SUP00030,Supplier_0030,DPT004,Operations,2024-08-19,6148.31,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000397,FCT-726325,SUP00007,Supplier_0007,DPT007,Human Resources,2024-09-09,59427.95,1,12.37,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000410,FCT-557584,SUP00014,Supplier_0014,DPT003,IT,2024-11-17,42027.02,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000413,FCT-926843,SUP00005,Supplier_0005,DPT003,IT,2024-07-25,2334.0,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000416,FCT-655334,SUP00029,Supplier_0029,DPT005,Sales,2024-11-28,4493.53,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000419,FCT-244702,SUP00261,Supplier_0261,DPT006,Marketing,2024-11-04,4745.76,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000426,FCT-330695,SUP00138,Supplier_0138,DPT007,Human Resources,2024-04-24,75114.87,1,12.37,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000438,FCT-207941,SUP00250,Supplier_0250,DPT004,Operations,2024-03-18,3993.13,0,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000444,FCT-245039,SUP00094,Supplier_0094,DPT003,IT,2024-08-16,5876.7,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000446,FCT-278808,SUP00005,Supplier_0005,DPT001,Finance,2024-02-17,8106.96,0,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000448,FCT-644259,SUP00020,Supplier_0020,DPT003,IT,2024-09-23,12704.04,1,12.37,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000451,FCT-742591,SUP00223,Supplier_0223,DPT002,Procurement,2024-04-13,6371.4,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000457,FCT-848937,SUP00282,Supplier_0282,DPT006,Marketing,2024-02-14,12545.43,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000459,FCT-324565,SUP00009,Supplier_0009,DPT001,Finance,2024-04-22,4856.12,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000464,FCT-982107,SUP00095,Supplier_0095,DPT002,Procurement,2024-06-28,33877.12,1,16.13,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000465,FCT-696239,SUP00017,Supplier_0017,DPT005,Sales,2024-12-06,4591.95,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000467,FCT-300284,SUP00017,Supplier_0017,DPT009,Risk Management,2024-02-09,8946.47,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000483,FCT-943421,SUP00007,Supplier_0007,DPT004,Operations,2024-10-08,21266.56,1,15.05,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000491,FCT-497845,SUP00009,Supplier_0009,DPT008,Legal,2024-12-29,10051.14,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000494,FCT-700000,SUP00030,Supplier_0030,DPT006,Marketing,2024-06-15,10778.51,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000495,FCT-357809,SUP00005,Supplier_0005,DPT002,Procurement,2024-04-10,4650.35,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000515,FCT-576122,SUP00119,Supplier_0119,DPT003,IT,2024-01-10,7061.34,1,15.05,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000520,FCT-695496,SUP00059,Supplier_0059,DPT002,Procurement,2024-04-14,4098.92,0,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000536,FCT-784013,SUP00285,Supplier_0285,DPT010,Customer Support,2024-11-03,50000.0,1,15.59,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000557,FCT-808825,SUP00021,Supplier_0021,DPT011,Logistics,2024-09-15,2155.84,1,17.2,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000559,FCT-709100,SUP00040,Supplier_0040,DPT002,Procurement,2024-09-25,31468.05,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000563,FCT-365143,SUP00203,Supplier_0203,DPT003,IT,2024-10-20,5249.23,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000578,FCT-962047,SUP00022,Supplier_0022,DPT004,Operations,2024-07-29,2861.12,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000582,FCT-604061,SUP00202,Supplier_0202,DPT011,Logistics,2024-05-12,80339.62,0,15.05,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000583,FCT-716937,SUP00010,Supplier_0010,DPT001,Finance,2024-10-30,6979.38,1,18.82,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000587,FCT-410879,SUP00117,Supplier_0117,DPT006,Marketing,2024-12-06,4437.37,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000595,FCT-439633,SUP00130,Supplier_0130,DPT007,Human Resources,2024-06-27,3397.33,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000598,FCT-601109,SUP00026,Supplier_0026,DPT002,Procurement,2024-03-09,10200.56,1,14.52,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000600,FCT-144962,SUP00007,Supplier_0007,DPT010,Customer Support,2024-02-24,8146.82,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000604,FCT-193047,SUP00306,Supplier_0306,DPT009,Risk Management,2024-07-14,23588.02,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000607,FCT-382733,SUP00225,Supplier_0225,DPT007,Human Resources,2024-12-02,8583.74,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000618,FCT-193780,SUP00143,Supplier_0143,DPT002,Procurement,2024-02-05,13920.19,1,15.59,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000627,FCT-484868,SUP00306,Supplier_0306,DPT005,Sales,2024-01-07,6045.39,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000637,FCT-662248,SUP00002,Supplier_0002,DPT005,Sales,2024-02-27,12181.04,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000638,FCT-304887,SUP00051,Supplier_0051,DPT006,Marketing,2024-02-05,5784.57,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000644,FCT-504839,SUP00115,Supplier_0115,DPT004,Operations,2024-08-22,946.64,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000645,FCT-741505,SUP00010,Supplier_0010,DPT009,Risk Management,2024-02-13,3988.72,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000657,FCT-811922,SUP00010,Supplier_0010,DPT009,Risk Management,2024-01-12,100000.0,1,22.04,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000677,FCT-679489,SUP00068,Supplier_0068,DPT009,Risk Management,2024-02-04,1539.98,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000682,FCT-415461,SUP00222,Supplier_0222,DPT012,General Administration,2024-02-29,2919.3,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000687,FCT-127654,SUP00278,Supplier_0278,DPT003,IT,2024-05-13,1914.83,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000688,FCT-343990,SUP00003,Supplier_0003,DPT003,IT,2024-10-12,5388.39,0,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000689,FCT-691113,SUP00052,Supplier_0052,DPT011,Logistics,2024-02-25,19893.76,1,16.13,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000690,FCT-795517,SUP00049,Supplier_0049,DPT010,Customer Support,2024-11-03,17087.96,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000697,FCT-889775,SUP00099,Supplier_0099,DPT002,Procurement,2024-10-14,4216.35,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000702,FCT-478482,SUP00033,Supplier_0033,DPT004,Operations,2024-01-03,1033.31,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000706,FCT-401681,SUP00256,Supplier_0256,DPT001,Finance,2024-01-31,22075.65,0,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000707,FCT-172327,SUP00168,Supplier_0168,DPT011,Logistics,2024-10-16,15567.94,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000727,FCT-418542,SUP00005,Supplier_0005,DPT002,Procurement,2024-06-05,5392.88,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000731,FCT-816042,SUP00088,Supplier_0088,DPT001,Finance,2024-08-13,7856.86,1,16.13,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000733,FCT-113574,SUP00011,Supplier_0011,DPT001,Finance,2024-06-28,9888.85,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000736,FCT-532277,SUP00005,Supplier_0005,DPT001,Finance,2024-09-18,28718.19,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000737,FCT-723543,SUP00252,Supplier_0252,DPT012,General Administration,2024-10-24,13337.68,1,17.74,Medium Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000749,FCT-859041,SUP00127,Supplier_0127,DPT004,Operations,2024-08-27,2083.12,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000751,FCT-623568,SUP00013,Supplier_0013,DPT003,IT,2024-10-06,1663.41,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000752,FCT-162690,SUP00020,Supplier_0020,DPT001,Finance,2024-03-01,6068.49,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000759,FCT-174982,SUP00004,Supplier_0004,DPT009,Risk Management,2024-08-12,6023.62,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000787,FCT-786673,SUP00063,Supplier_0063,DPT009,Risk Management,2024-11-05,12581.41,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000793,FCT-713393,SUP00247,Supplier_0247,DPT001,Finance,2024-02-07,10000.0,1,12.37,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000795,FCT-137589,SUP00006,Supplier_0006,DPT004,Operations,2024-04-30,11180.96,1,12.37,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000804,FCT-967804,SUP00059,Supplier_0059,DPT004,Operations,2024-11-20,18349.65,1,12.37,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
