supplier_id,supplier_name,supplier_category,supplier_country,Invoice_Count,Total_Invoice_Amount,Average_Invoice_Amount,Paid_Invoices,Average_Audit_Risk_Score,Max_Audit_Risk_Score,Average_Rule_Count,Exception_Invoices,High_Risk_Invoices,Medium_Risk_Invoices,Missing_PO_Count,Duplicate_Risk_Count,Payment_Before_Invoice_Count,Very_Late_Payment_Count,Weekend_Payment_Count,Cash_Payment_Count,PO_Supplier_Mismatch_Count,PO_Department_Mismatch_Count,Invoice_Exceeds_PO_Count,PO_Not_Approved_Count,Missing_Tax_ID_Flag,Spend_Share,Exception_Rate,High_Risk_Invoice_Rate,Medium_Risk_Invoice_Rate,Critical_Rule_Triggers,Procurement_Exception_Count,Payment_Exception_Count,Procurement_Exception_Rate,Payment_Exception_Rate,avg_risk_score_scaled,exception_rate_scaled,high_risk_rate_scaled,critical_triggers_scaled,spend_share_scaled,procurement_exception_scaled,payment_exception_scaled,supplier_risk_score,supplier_risk_level,primary_supplier_risk_driver,Supplier_Audit_Recommendation
SUP00002,Supplier_0002,Training,Germany,282,3877256.38,13749.14,262,8.25,30.65,1.63,231,2,37,39,10,10,46,73,5,9,16,104,47,0,3.48,81.91,0.71,13.12,29,215,150,76.24,53.19,0.4421603406964636,0.6835106382978724,0.05673758865248227,0.8529411764705882,0.9394985485835754,0.4574468085106383,0.3730777333052454,51.53,High Supplier Risk,Spend concentration,"Prioritize audit review for Supplier_0002. Main risk driver: Spend concentration. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00076,Supplier_0076,Telecom,Algeria,11,421997.99,38363.45,10,14.86,25.81,2.82,11,0,4,1,1,0,2,2,0,1,0,6,1,1,0.38,100.0,0.0,36.36,2,9,4,81.82,36.36,0.9684911189089461,1.0,0.0,0.058823529411764705,0.10201153820522119,0.4909090909090909,0.23312331233123312,50.66,High Supplier Risk,High exception rate,"Prioritize audit review for Supplier_0076. Main risk driver: High exception rate. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00202,Supplier_0202,Marketing Services,Spain,13,208911.74,16070.13,11,13.98,23.12,2.69,13,0,6,5,0,1,1,6,1,1,1,3,0,1,0.19,100.0,0.0,46.15,2,10,9,76.92,69.23,0.8985276561878234,1.0,0.0,0.058823529411764705,0.05036360154678949,0.46153846153846156,0.5064737242955064,50.01,High Supplier Risk,High exception rate,"Prioritize audit review for Supplier_0202. Main risk driver: High exception rate. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00229,Supplier_0229,Facilities,Algeria,14,125058.48,8932.75,13,14.06,26.88,2.57,14,0,5,2,0,1,2,3,0,1,1,5,4,1,0.11,100.0,0.0,35.71,2,13,7,92.86,50.0,0.9044966175885398,1.0,0.0,0.058823529411764705,0.030039212426970625,0.557142857142857,0.3465346534653465,49.79,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0229. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00006,Supplier_0006,Telecom,Algeria,278,3420743.95,12304.83,258,7.63,27.96,1.56,232,0,30,32,10,10,39,84,2,10,12,101,29,0,3.07,83.45,0.0,10.79,30,184,155,66.19,55.76,0.3930181759884572,0.7104316546762591,0.0,0.8823529411764706,0.8288488700218347,0.3971223021582733,0.3944013106346605,48.74,Medium Supplier Risk,Critical audit rule triggers,Perform targeted review for Supplier_0006. Main risk driver: Critical audit rule triggers. Focus on exception patterns and sample-based transaction testing.
SUP00074,Supplier_0074,Telecom,United Arab Emirates,21,349749.44,16654.74,18,10.93,33.87,2.14,21,1,3,7,2,1,5,9,0,1,0,6,4,0,0.31,100.0,4.76,14.29,4,18,15,85.71,71.43,0.6560551797320601,1.0,0.38095238095238093,0.11764705882352941,0.08449990367195806,0.5142857142857142,0.5247524752475248,48.54,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0074. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00008,Supplier_0008,Logistics,France,269,3250205.03,12082.55,237,7.76,31.18,1.53,215,1,31,62,10,10,35,71,2,11,16,80,20,0,2.92,79.93,0.37,11.52,31,189,134,70.26,49.81,0.40389232496593935,0.6486988847583645,0.02973977695167286,0.9117647058823529,0.7875135734555037,0.42156133828996284,0.3449887739703338,48.46,Medium Supplier Risk,Critical audit rule triggers,Perform targeted review for Supplier_0008. Main risk driver: Critical audit rule triggers. Focus on exception patterns and sample-based transaction testing.
SUP00001,Supplier_0001,Training,Turkey,233,2431526.33,10435.74,211,7.94,33.87,1.54,197,1,25,45,9,7,44,57,7,11,12,81,16,0,2.18,84.55,0.43,10.73,28,165,134,70.82,57.51,0.41748572658228716,0.7296137339055794,0.034334763948497854,0.8235294117647058,0.58908187905379,0.4248927038626609,0.40900012748055914,47.25,Medium Supplier Risk,Critical audit rule triggers,Perform targeted review for Supplier_0001. Main risk driver: Critical audit rule triggers. Focus on exception patterns and sample-based transaction testing.
SUP00157,Supplier_0157,Professional Services,Algeria,8,109277.84,13659.73,7,12.7,22.04,2.62,8,0,3,0,0,0,2,3,0,0,1,5,0,1,0.1,100.0,0.0,37.5,0,6,5,75.0,62.5,0.7968563469956229,1.0,0.0,0.0,0.026214294136139977,0.44999999999999996,0.45049504950495045,45.84,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0157. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00117,Supplier_0117,Facilities,United Arab Emirates,12,318502.98,26541.91,11,10.35,30.11,2.08,10,1,2,3,0,1,2,5,1,0,1,2,3,0,0.29,83.33,8.33,16.67,1,9,9,75.0,75.0,0.6096299243931557,0.7083333333333335,0.6666666666666665,0.029411764705882353,0.07692637329690938,0.44999999999999996,0.5544554455445544,45.46,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0117. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00286,Supplier_0286,Consulting,Algeria,13,180724.47,13901.88,12,12.03,24.19,2.31,13,0,4,4,0,0,3,5,0,1,0,6,6,0,0.16,100.0,0.0,30.77,1,17,8,130.77,61.54,0.7437019804707827,1.0,0.0,0.029411764705882353,0.04353155895589444,0.7846153846153846,0.4424980959634424,45.41,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0286. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00004,Supplier_0004,Professional Services,Turkey,266,3516104.72,13218.44,248,7.38,26.34,1.52,209,0,30,43,14,4,38,76,4,9,10,93,8,0,3.16,78.57,0.0,11.28,27,163,139,61.28,52.26,0.37288206588895634,0.625,0.0,0.7941176470588235,0.8519624543505245,0.3676691729323308,0.36529442417926006,45.36,Medium Supplier Risk,Spend concentration,Perform targeted review for Supplier_0004. Main risk driver: Spend concentration. Focus on exception patterns and sample-based transaction testing.
SUP00005,Supplier_0005,Consulting,Algeria,288,4000165.6,13889.46,267,7.28,29.03,1.5,236,0,30,43,10,6,40,84,6,5,12,88,36,0,3.59,81.94,0.0,10.42,21,184,145,63.89,50.35,0.36492737763629135,0.6840277777777778,0.0,0.6176470588235294,0.9692893380375981,0.38333333333333325,0.34942244224422436,44.62,Medium Supplier Risk,Spend concentration,Perform targeted review for Supplier_0005. Main risk driver: Spend concentration. Focus on exception patterns and sample-based transaction testing.
SUP00010,Supplier_0010,Facilities,Algeria,274,3646952.1,13310.04,251,7.56,24.73,1.54,215,0,41,48,7,12,41,65,7,4,14,88,24,0,3.27,78.47,0.0,14.96,23,178,141,64.96,51.46,0.38730571829406796,0.6231751824817517,0.0,0.6764705882352942,0.8836772984296789,0.3897810218978101,0.3586760135867601,44.42,Medium Supplier Risk,Spend concentration,Perform targeted review for Supplier_0010. Main risk driver: Spend concentration. Focus on exception patterns and sample-based transaction testing.
SUP00007,Supplier_0007,Telecom,Germany,264,3435461.61,13013.11,243,7.2,32.8,1.5,214,1,25,35,9,4,31,84,6,9,14,105,12,0,3.08,81.06,0.38,9.47,22,175,133,66.29,50.38,0.3587104631672877,0.6685606060606061,0.030303030303030304,0.6470588235294118,0.8324161427643993,0.39772727272727265,0.34968496849684966,43.91,Medium Supplier Risk,Spend concentration,Perform targeted review for Supplier_0007. Main risk driver: Spend concentration. Focus on exception patterns and sample-based transaction testing.
SUP00283,Supplier_0283,Facilities,Algeria,17,192771.5,11339.5,16,11.99,24.73,2.41,17,0,3,2,0,1,0,7,0,0,1,6,3,1,0.17,100.0,0.0,17.65,1,12,8,70.59,47.06,0.739870321387608,1.0,0.0,0.029411764705882353,0.04645152325374202,0.4235294117647059,0.32207338380896905,43.89,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0283. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00130,Supplier_0130,Training,France,23,260803.55,11339.28,22,12.2,24.73,2.43,23,0,8,6,1,0,2,6,1,0,2,7,0,1,0.23,100.0,0.0,34.78,1,15,9,65.22,39.13,0.7571411270091178,1.0,0.0,0.029411764705882353,0.06294116070873153,0.3913043478260869,0.2561343090830822,43.71,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0130. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00041,Supplier_0041,Logistics,Turkey,5,25242.83,5048.57,5,11.61,19.89,2.2,5,0,1,1,1,0,2,2,0,0,1,3,0,0,0.02,100.0,0.0,20.0,1,5,4,100.0,80.0,0.7102268205332274,1.0,0.0,0.029411764705882353,0.005845852373376435,0.6,0.596039603960396,43.43,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0041. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00228,Supplier_0228,Facilities,United Arab Emirates,14,267331.12,19095.08,13,11.6,20.97,2.43,14,0,2,1,1,1,2,4,2,1,0,9,1,0,0.24,100.0,0.0,14.29,3,12,9,85.71,64.29,0.7090557671536581,1.0,0.0,0.08823529411764706,0.06452331592472262,0.5142857142857142,0.46534653465346537,43.1,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0228. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00003,Supplier_0003,Office Supplies,Turkey,282,3549871.85,12588.2,258,7.19,34.41,1.52,219,1,29,48,8,3,47,93,11,10,7,85,12,0,3.19,77.66,0.35,10.28,21,162,173,57.45,61.35,0.3579542407847985,0.6090425531914893,0.028368794326241134,0.6176470588235294,0.860146945801179,0.3446808510638298,0.4409100484516536,42.91,Medium Supplier Risk,Spend concentration,Perform targeted review for Supplier_0003. Main risk driver: Spend concentration. Focus on exception patterns and sample-based transaction testing.
SUP00148,Supplier_0148,Professional Services,France,10,122291.93,12229.19,9,12.37,21.51,2.3,10,0,3,2,2,0,0,1,0,0,0,4,0,1,0.11,100.0,0.0,30.0,2,6,2,60.0,20.0,0.7701551929964188,1.0,0.0,0.058823529411764705,0.02936865485151757,0.36,0.09702970297029703,42.71,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0148. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00072,Supplier_0072,Professional Services,Algeria,17,149351.88,8785.4,16,11.8,23.66,2.29,17,0,1,2,0,0,3,3,2,0,1,6,2,1,0.13,100.0,0.0,5.88,0,11,8,64.71,47.06,0.7247957678893285,1.0,0.0,0.0,0.035927457137354075,0.388235294117647,0.32207338380896905,42.62,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0072. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00115,Supplier_0115,Training,Turkey,13,266431.51,20494.73,13,11.04,20.97,2.31,13,0,3,2,2,1,3,8,0,0,1,4,0,0,0.24,100.0,0.0,23.08,3,7,13,53.85,100.0,0.6648504698643976,1.0,0.0,0.08823529411764706,0.06430526806711898,0.32307692307692304,0.7623762376237623,42.16,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0115. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00038,Supplier_0038,Consulting,Spain,24,498745.89,20781.08,20,10.57,26.34,2.29,24,0,5,2,0,1,4,12,2,2,1,10,2,0,0.45,100.0,0.0,20.83,3,17,21,70.83,87.5,0.6274373259052926,1.0,0.0,0.08823529411764706,0.12061372712105993,0.425,0.6584158415841583,42.07,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0038. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00191,Supplier_0191,Training,Algeria,7,83358.95,11908.42,6,11.52,15.05,2.29,7,0,1,3,0,0,0,1,0,0,0,2,0,1,0.07,100.0,0.0,14.29,0,5,2,71.43,28.57,0.7028594167472004,1.0,0.0,0.0,0.019932062462454516,0.42857142857142855,0.1683168316831683,41.23,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0191. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00024,Supplier_0024,Professional Services,Morocco,108,1493229.5,13826.2,102,8.67,25.81,1.77,95,0,16,16,5,5,21,36,2,4,5,38,11,0,1.34,87.96,0.0,14.81,14,74,72,68.52,66.67,0.4761315234852839,0.7893518518518519,0.0,0.4117647058823529,0.36165709100365895,0.4111111111111111,0.485148514851485,41.04,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0024. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00165,Supplier_0165,Logistics,United Kingdom,7,169631.8,24233.11,7,10.75,20.97,2.29,7,0,1,2,0,0,1,4,0,1,0,3,0,0,0.15,100.0,0.0,14.29,1,6,5,85.71,71.43,0.6415780796998467,1.0,0.0,0.029411764705882353,0.04084291284413037,0.5142857142857142,0.5247524752475248,40.71,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0165. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00190,Supplier_0190,Logistics,France,8,106612.44,13326.56,8,10.28,17.74,1.88,8,0,2,5,0,0,3,3,0,1,0,1,1,0,0.1,100.0,0.0,25.0,1,8,6,100.0,75.0,0.604158376442499,1.0,0.0,0.029411764705882353,0.025568253341065758,0.6,0.5544554455445544,40.68,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0190. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00124,Supplier_0124,Telecom,Algeria,14,112875.39,8062.53,14,10.64,27.96,1.93,13,0,3,1,0,3,0,5,1,1,0,4,7,0,0.1,92.86,0.0,21.43,4,13,11,92.86,78.57,0.6325393667216191,0.8750000000000001,0.0,0.11764705882352941,0.027086269847972817,0.557142857142857,0.5841584158415841,40.63,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0124. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00138,Supplier_0138,Telecom,Algeria,15,225130.71,15008.71,13,10.11,21.51,2.0,15,0,4,1,0,1,4,6,0,1,1,6,5,0,0.2,100.0,0.0,26.67,2,14,11,93.33,73.33,0.5904761904761904,1.0,0.0,0.058823529411764705,0.05429476245100082,0.5599999999999999,0.5405940594059405,40.57,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0138. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00227,Supplier_0227,Office Supplies,Morocco,11,99786.43,9071.49,10,10.9,19.35,2.18,11,0,2,0,0,0,1,3,0,1,0,3,1,1,0.09,100.0,0.0,18.18,1,5,6,45.45,54.55,0.6534023079984084,1.0,0.0,0.029411764705882353,0.023913762109886733,0.2727272727272727,0.38433843384338423,40.43,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0227. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00090,Supplier_0090,Maintenance,Algeria,6,65899.21,10983.2,6,10.48,21.51,2.33,6,0,1,1,1,0,1,4,1,0,1,1,0,0,0.06,100.0,0.0,16.67,1,3,7,50.0,116.67,0.6203740549144449,1.0,0.0,0.029411764705882353,0.015700163193530844,0.3,0.9009900990099009,40.41,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0090. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00186,Supplier_0186,Marketing Services,Algeria,13,114137.69,8779.82,10,11.0,18.82,2.15,13,0,4,3,0,0,2,3,0,1,0,2,0,1,0.1,100.0,0.0,30.77,1,6,6,46.15,46.15,0.6615445835501547,1.0,0.0,0.029411764705882353,0.02739222666331843,0.2769230769230769,0.3145468392993145,40.22,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0186. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00139,Supplier_0139,Professional Services,Algeria,19,176350.26,9281.59,19,9.08,32.26,1.79,16,1,2,2,0,1,2,5,0,1,2,9,4,0,0.16,84.21,5.26,10.53,2,18,12,94.74,63.16,0.5088487234800093,0.7236842105263157,0.42105263157894735,0.058823529411764705,0.042471336060185876,0.5684210526315788,0.4559666492965085,40.08,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0139. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00123,Supplier_0123,Maintenance,Germany,19,242056.28,12739.8,18,10.7,21.51,2.0,17,0,6,9,2,2,1,5,0,0,0,7,2,0,0.22,89.47,0.0,31.58,4,18,11,94.74,57.89,0.6372756403543679,0.8157894736842105,0.0,0.11764705882352941,0.0583971893662422,0.5684210526315788,0.4121938509640437,39.09,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0123. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00307,Supplier_0307,Professional Services,Algeria,8,165934.12,20741.76,8,11.56,27.96,2.38,7,0,3,3,0,1,1,4,0,1,0,2,0,0,0.15,87.5,0.0,37.5,2,6,6,75.0,75.0,0.7058296856346996,0.78125,0.0,0.058823529411764705,0.03994666757995612,0.44999999999999996,0.5544554455445544,39.03,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0307. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00014,Supplier_0014,Telecom,Algeria,94,2084318.32,22173.6,85,8.68,25.81,1.72,80,0,19,17,2,5,15,23,5,2,5,25,20,0,1.87,85.11,0.0,20.21,9,69,49,73.4,52.13,0.476966582282768,0.7393617021276596,0.0,0.2647058823529412,0.5049254526875645,0.44042553191489353,0.3642300400252791,38.99,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0014. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00315,Supplier_0315,Maintenance,France,14,113413.6,8100.97,14,10.52,20.43,2.0,14,0,3,1,2,1,1,4,0,0,0,2,0,1,0.1,100.0,0.0,21.43,3,3,6,21.43,42.86,0.6232732647376501,1.0,0.0,0.08823529411764706,0.027216721418587695,0.12857142857142856,0.28712871287128705,38.47,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0315. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00011,Supplier_0011,Marketing Services,Germany,81,894262.68,11040.28,77,8.58,30.11,1.65,70,1,11,18,2,5,15,20,0,2,6,30,9,0,0.8,86.42,1.23,13.58,9,65,46,80.25,56.79,0.46847749726115573,0.7623456790123456,0.09876543209876543,0.2647058823529412,0.2164792563012216,0.4814814814814814,0.4030069673634029,38.4,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0011. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00233,Supplier_0233,Professional Services,France,18,266617.06,14812.06,16,8.96,33.87,2.0,15,1,0,2,0,0,2,7,0,0,1,7,5,0,0.24,83.33,5.56,0.0,0,15,10,83.33,55.56,0.4990936021576691,0.7083333333333335,0.4444444444444444,0.0,0.0643502417556933,0.5,0.3927392739273927,38.16,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0233. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00101,Supplier_0101,Professional Services,United Arab Emirates,11,169967.92,15451.63,11,6.65,30.11,1.45,10,1,0,2,0,0,2,4,0,0,1,3,0,0,0.15,90.91,9.09,0.0,0,6,6,54.55,54.55,0.315088810910538,0.8409090909090908,0.7272727272727273,0.0,0.04092438175387763,0.3272727272727272,0.38433843384338423,37.77,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0101. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00093,Supplier_0093,Maintenance,Algeria,31,460992.15,14870.71,30,9.92,22.04,2.0,27,0,7,3,3,0,6,14,1,1,2,16,6,0,0.41,87.1,0.0,22.58,4,28,21,90.32,67.74,0.5753822060767879,0.7741935483870968,0.0,0.11764705882352941,0.11146295942892166,0.5419354838709676,0.4940913446183327,37.75,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0093. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00261,Supplier_0261,Training,Germany,10,92389.85,9238.98,9,10.16,16.13,1.9,9,0,2,4,0,1,3,3,0,0,1,3,2,0,0.08,90.0,0.0,20.0,1,10,7,100.0,70.0,0.5946677278153603,0.825,0.0,0.029411764705882353,0.022120975877415034,0.6,0.5128712871287129,37.49,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0261. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
SUP00224,Supplier_0224,Maintenance,Turkey,28,575927.99,20568.86,28,10.23,28.49,2.04,24,0,7,6,1,1,4,7,0,1,2,16,3,0,0.52,85.71,0.0,25.0,3,28,14,100.0,50.0,0.6003638224091864,0.7499999999999999,0.0,0.08823529411764706,0.1393211576191082,0.6,0.3465346534653465,37.4,Medium Supplier Risk,High exception rate,Perform targeted review for Supplier_0224. Main risk driver: High exception rate. Focus on exception patterns and sample-based transaction testing.
