supplier_id,Invoice_Count,Total_Invoice_Amount,Spend_Share,supplier_name,supplier_category,supplier_country
SUP00203,16,194591.02,0.17,Supplier_0203,Logistics,Algeria
SUP00291,19,193765.28,0.17,Supplier_0291,Office Supplies,Algeria
SUP00283,17,192771.5,0.17,Supplier_0283,Facilities,Algeria
SUP00143,16,189831.38999999998,0.17,Supplier_0143,Facilities,Turkey
SUP00320,24,189545.61,0.17,Supplier_0320,Facilities,France
SUP00040,20,189140.3,0.17,Supplier_0040,Marketing Services,Algeria
SUP00207,14,188846.41,0.17,Supplier_0207,IT Services,Algeria
SUP00052,11,188834.12,0.17,Supplier_0052,Logistics,Algeria
SUP00318,15,187746.69,0.17,Supplier_0318,Marketing Services,Algeria
SUP00158,17,187317.06,0.17,Supplier_0158,Logistics,France
SUP00198,18,186853.73,0.17,Supplier_0198,Telecom,Algeria
SUP00204,20,184092.47,0.17,Supplier_0204,Professional Services,Tunisia
SUP00069,16,183389.78,0.16,Supplier_0069,Telecom,France
SUP00120,16,182941.72,0.16,Supplier_0120,Professional Services,United Kingdom
SUP00278,19,181190.84,0.16,Supplier_0278,Office Supplies,Algeria
SUP00286,13,180724.47,0.16,Supplier_0286,Consulting,Algeria
SUP00309,16,179712.51,0.16,Supplier_0309,Facilities,Algeria
SUP00147,17,177322.62,0.16,Supplier_0147,Marketing Services,United Arab Emirates
SUP00276,19,176790.85,0.16,Supplier_0276,Professional Services,Algeria
SUP00139,19,176350.26,0.16,Supplier_0139,Professional Services,Algeria
SUP00195,12,175137.68,0.16,Supplier_0195,Marketing Services,Algeria
SUP00119,16,171765.08000000002,0.15,Supplier_0119,Marketing Services,Morocco
SUP00200,11,170755.84,0.15,Supplier_0200,Telecom,Algeria
SUP00314,12,170094.23,0.15,Supplier_0314,Consulting,France
SUP00235,13,170078.63,0.15,Supplier_0235,Office Supplies,Algeria
SUP00101,11,169967.91999999998,0.15,Supplier_0101,Professional Services,United Arab Emirates
SUP00188,11,169775.0,0.15,Supplier_0188,Office Supplies,Algeria
SUP00165,7,169631.80000000002,0.15,Supplier_0165,Logistics,United Kingdom
SUP00034,8,169485.6,0.15,Supplier_0034,Marketing Services,France
SUP00254,10,167529.81,0.15,Supplier_0254,Marketing Services,Germany
SUP00307,8,165934.12,0.15,Supplier_0307,Professional Services,Algeria
SUP00201,15,165378.72,0.15,Supplier_0201,Professional Services,Algeria
SUP00232,17,164847.47,0.15,Supplier_0232,Logistics,Morocco
SUP00223,20,162267.87,0.15,Supplier_0223,Consulting,Algeria
SUP00159,13,161911.53,0.15,Supplier_0159,Facilities,Algeria
SUP00251,17,161531.43000000002,0.15,Supplier_0251,Consulting,Algeria
SUP00170,16,160911.51,0.14,Supplier_0170,Office Supplies,Algeria
SUP00118,10,160468.39,0.14,Supplier_0118,Office Supplies,Turkey
SUP00304,17,159361.3,0.14,Supplier_0304,Facilities,Algeria
SUP00131,14,157894.65,0.14,Supplier_0131,Logistics,Algeria
SUP00296,13,157545.94999999998,0.14,Supplier_0296,Logistics,Algeria
SUP00293,21,156665.21,0.14,Supplier_0293,Consulting,Algeria
SUP00211,13,156026.42,0.14,Supplier_0211,Telecom,Algeria
SUP00267,15,153980.49000000002,0.14,Supplier_0267,IT Services,Algeria
SUP00308,12,153971.75,0.14,Supplier_0308,Maintenance,Algeria
SUP00294,10,153616.73,0.14,Supplier_0294,Maintenance,Algeria
SUP00082,17,151005.3,0.14,Supplier_0082,Consulting,France
SUP00085,14,150944.0,0.14,Supplier_0085,Marketing Services,Algeria
SUP00231,17,150827.37,0.14,Supplier_0231,Marketing Services,Algeria
SUP00197,12,150816.35,0.14,Supplier_0197,IT Services,Algeria
SUP00154,11,150108.23,0.13,Supplier_0154,Logistics,Algeria
SUP00051,20,149578.77,0.13,Supplier_0051,IT Services,France
SUP00072,17,149351.88,0.13,Supplier_0072,Professional Services,Algeria
SUP00070,14,148943.16,0.13,Supplier_0070,Telecom,Algeria
SUP00239,12,148655.15,0.13,Supplier_0239,Marketing Services,Algeria
SUP00087,11,148026.64,0.13,Supplier_0087,Professional Services,Turkey
SUP00246,12,147448.82,0.13,Supplier_0246,Marketing Services,Algeria
SUP00089,13,146355.47,0.13,Supplier_0089,Training,Algeria
SUP00141,18,145206.17,0.13,Supplier_0141,Telecom,Algeria
SUP00110,21,144889.46,0.13,Supplier_0110,Training,Algeria
SUP00095,11,142665.83,0.13,Supplier_0095,Maintenance,Algeria
SUP00289,8,142495.04,0.13,Supplier_0289,Facilities,France
SUP00311,6,141028.25,0.13,Supplier_0311,Facilities,Algeria
SUP00033,15,140210.62,0.13,Supplier_0033,IT Services,Spain
SUP00247,18,139033.45,0.12,Supplier_0247,Professional Services,France
SUP00176,14,138154.44,0.12,Supplier_0176,Telecom,Algeria
SUP00181,15,135050.22,0.12,Supplier_0181,IT Services,Algeria
SUP00245,13,134036.24,0.12,Supplier_0245,Office Supplies,Algeria
SUP00305,11,133299.11000000002,0.12,Supplier_0305,Professional Services,France
SUP00270,7,132931.04,0.12,Supplier_0270,Consulting,France
SUP00226,12,132659.41,0.12,Supplier_0226,Consulting,Algeria
SUP00295,13,132659.2,0.12,Supplier_0295,Maintenance,Algeria
SUP00056,12,132534.38999999998,0.12,Supplier_0056,Training,France
SUP00054,20,132091.97,0.12,Supplier_0054,Training,Algeria
SUP00241,14,131447.91,0.12,Supplier_0241,Marketing Services,Algeria
SUP00149,18,131237.46,0.12,Supplier_0149,Marketing Services,United Kingdom
SUP00271,17,130385.45,0.12,Supplier_0271,Logistics,Algeria
SUP00280,18,130308.34,0.12,Supplier_0280,Professional Services,Algeria
SUP00313,15,129846.18,0.12,Supplier_0313,Consulting,Spain
SUP00242,14,129573.58,0.12,Supplier_0242,Telecom,Turkey
SUP00060,17,127831.41,0.11,Supplier_0060,Office Supplies,Germany
SUP00269,19,127829.76000000001,0.11,Supplier_0269,Maintenance,Morocco
SUP00183,11,127322.54,0.11,Supplier_0183,Marketing Services,Tunisia
SUP00209,13,126049.12999999999,0.11,Supplier_0209,Professional Services,Spain
SUP00244,11,125895.12000000001,0.11,Supplier_0244,IT Services,Algeria
SUP00075,16,125835.67,0.11,Supplier_0075,Office Supplies,Algeria
SUP00122,11,125809.09999999999,0.11,Supplier_0122,Maintenance,France
SUP00167,13,125760.06,0.11,Supplier_0167,Marketing Services,Germany
SUP00084,14,125444.31999999999,0.11,Supplier_0084,Consulting,United Kingdom
SUP00229,14,125058.48,0.11,Supplier_0229,Facilities,Algeria
SUP00043,8,124639.35,0.11,Supplier_0043,Maintenance,Algeria
SUP00094,13,124591.6,0.11,Supplier_0094,Professional Services,Algeria
SUP00301,17,123829.93,0.11,Supplier_0301,Facilities,France
SUP00135,13,123221.28,0.11,Supplier_0135,Consulting,Algeria
SUP00148,10,122291.93,0.11,Supplier_0148,Professional Services,France
SUP00032,11,121719.91,0.11,Supplier_0032,Logistics,Algeria
SUP00205,13,121334.41,0.11,Supplier_0205,Consulting,Germany
SUP00230,15,120553.83,0.11,Supplier_0230,Maintenance,United Arab Emirates
SUP00140,11,120105.06,0.11,Supplier_0140,Marketing Services,Spain
SUP00172,9,120049.45999999999,0.11,Supplier_0172,Facilities,Algeria
SUP00061,11,118661.92,0.11,Supplier_0061,Office Supplies,Algeria
SUP00255,9,115554.23,0.1,Supplier_0255,Training,Spain
SUP00186,13,114137.69,0.1,Supplier_0186,Marketing Services,Algeria
SUP00315,14,113413.6,0.1,Supplier_0315,Maintenance,France
SUP00124,14,112875.39,0.1,Supplier_0124,Telecom,Algeria
SUP00185,15,112010.73000000001,0.1,Supplier_0185,Consulting,Algeria
SUP00065,13,110994.12,0.1,Supplier_0065,Training,Algeria
SUP00157,8,109277.84,0.1,Supplier_0157,Professional Services,Algeria
SUP00217,8,107101.15000000001,0.1,Supplier_0217,Consulting,Algeria
SUP00108,18,106903.5,0.1,Supplier_0108,Marketing Services,Algeria
SUP00175,7,106811.72,0.1,Supplier_0175,Office Supplies,Algeria
SUP00190,8,106612.44,0.1,Supplier_0190,Logistics,France
SUP00039,7,106516.61,0.1,Supplier_0039,Professional Services,Algeria
SUP00049,13,106410.93000000001,0.1,Supplier_0049,Professional Services,Algeria
SUP00215,17,106321.72,0.1,Supplier_0215,Consulting,France
SUP00220,12,105167.04000000001,0.09,Supplier_0220,Consulting,Algeria
SUP00193,7,104038.89,0.09,Supplier_0193,Maintenance,Germany
SUP00292,16,102922.97,0.09,Supplier_0292,IT Services,Algeria
SUP00035,13,101922.71,0.09,Supplier_0035,Telecom,Algeria
SUP00102,7,101778.86,0.09,Supplier_0102,IT Services,United Arab Emirates
SUP00152,14,101283.21,0.09,Supplier_0152,Logistics,Algeria
SUP00310,8,100513.25,0.09,Supplier_0310,Office Supplies,Algeria
SUP00083,12,99897.31999999999,0.09,Supplier_0083,Office Supplies,Algeria
SUP00227,11,99786.43,0.09,Supplier_0227,Office Supplies,Morocco
SUP00199,11,99777.74,0.09,Supplier_0199,Marketing Services,Tunisia
SUP00250,13,99575.90000000001,0.09,Supplier_0250,Facilities,United Arab Emirates
SUP00194,10,98791.69,0.09,Supplier_0194,Consulting,Algeria
SUP00046,10,97732.3,0.09,Supplier_0046,Marketing Services,Tunisia
SUP00187,12,96745.12,0.09,Supplier_0187,Telecom,France
SUP00206,10,96249.43000000001,0.09,Supplier_0206,Maintenance,Algeria
SUP00127,9,95952.93,0.09,Supplier_0127,Marketing Services,United Arab Emirates
SUP00222,11,95218.38,0.09,Supplier_0222,Consulting,Algeria
SUP00248,11,95188.58,0.09,Supplier_0248,Marketing Services,United Kingdom
SUP00303,9,93735.06,0.08,Supplier_0303,Office Supplies,Algeria
SUP00261,10,92389.85,0.08,Supplier_0261,Training,Germany
SUP00164,12,91857.2,0.08,Supplier_0164,Facilities,Tunisia
SUP00260,8,90998.45,0.08,Supplier_0260,Maintenance,Algeria
SUP00104,10,90944.76999999999,0.08,Supplier_0104,Marketing Services,Algeria
SUP00237,8,90633.32,0.08,Supplier_0237,Consulting,Algeria
SUP00053,14,90570.33,0.08,Supplier_0053,Telecom,Algeria
SUP00105,10,89799.56,0.08,Supplier_0105,Facilities,Algeria
SUP00064,9,87413.72,0.08,Supplier_0064,Consulting,United Kingdom
SUP00312,11,87108.53,0.08,Supplier_0312,Facilities,Algeria
SUP00068,10,86827.74,0.08,Supplier_0068,IT Services,United Arab Emirates
SUP00282,13,86729.51,0.08,Supplier_0282,Telecom,France
SUP00218,14,85111.16,0.08,Supplier_0218,Logistics,Algeria
SUP00300,9,84928.41,0.08,Supplier_0300,Training,France
SUP00155,12,84903.07,0.08,Supplier_0155,Professional Services,Spain
SUP00191,7,83358.95,0.07,Supplier_0191,Training,Algeria
SUP00133,11,81599.52,0.07,Supplier_0133,Logistics,Algeria
SUP00256,11,80467.54000000001,0.07,Supplier_0256,Office Supplies,United Arab Emirates
SUP00277,11,78387.67,0.07,Supplier_0277,Consulting,Algeria
SUP00216,7,77439.19,0.07,Supplier_0216,Marketing Services,Spain
SUP00258,10,75244.36,0.07,Supplier_0258,Logistics,Algeria
SUP00173,15,73909.9,0.07,Supplier_0173,Office Supplies,France
SUP00136,9,73459.54,0.07,Supplier_0136,IT Services,Algeria
SUP00111,10,73383.68,0.07,Supplier_0111,IT Services,Algeria
SUP00048,9,72072.61,0.06,Supplier_0048,Training,Turkey
SUP00268,9,70474.92,0.06,Supplier_0268,Training,Spain
SUP00067,8,70352.51,0.06,Supplier_0067,Training,France
SUP00234,10,69844.82,0.06,Supplier_0234,Maintenance,France
SUP00306,8,68309.81,0.06,Supplier_0306,Office Supplies,Algeria
SUP00213,14,68302.54000000001,0.06,Supplier_0213,Telecom,France
SUP00290,10,68115.66,0.06,Supplier_0290,Office Supplies,Tunisia
SUP00180,7,67380.88,0.06,Supplier_0180,Office Supplies,United Kingdom
SUP00099,11,66278.87,0.06,Supplier_0099,Telecom,Algeria
SUP00090,6,65899.20999999999,0.06,Supplier_0090,Maintenance,Algeria
SUP00316,7,65283.34,0.06,Supplier_0316,IT Services,Algeria
SUP00208,11,64360.78,0.06,Supplier_0208,Professional Services,Morocco
SUP00112,7,64195.35,0.06,Supplier_0112,Office Supplies,Algeria
SUP00047,11,63949.28,0.06,Supplier_0047,Consulting,Algeria
SUP00137,10,62675.61,0.06,Supplier_0137,Telecom,Algeria
SUP00272,6,61740.9,0.06,Supplier_0272,Maintenance,France
SUP00263,6,60929.979999999996,0.05,Supplier_0263,Office Supplies,United Arab Emirates
SUP00132,6,58637.270000000004,0.05,Supplier_0132,Consulting,Algeria
SUP00160,9,58210.670000000006,0.05,Supplier_0160,IT Services,Spain
SUP00145,9,55584.25,0.05,Supplier_0145,Facilities,Algeria
SUP00262,6,55427.630000000005,0.05,Supplier_0262,Marketing Services,France
SUP00151,11,52458.409999999996,0.05,Supplier_0151,Consulting,France
SUP00036,7,52423.32,0.05,Supplier_0036,Consulting,United Kingdom
SUP00126,12,51780.79,0.05,Supplier_0126,Professional Services,Algeria
SUP00103,5,50769.41,0.05,Supplier_0103,Logistics,Algeria
SUP00212,11,47615.29,0.04,Supplier_0212,Marketing Services,United Arab Emirates
SUP00162,5,42822.17,0.04,Supplier_0162,Consulting,Tunisia
SUP00196,6,40715.95,0.04,Supplier_0196,Training,Algeria
SUP00106,3,37655.53,0.03,Supplier_0106,Office Supplies,Algeria
SUP00264,7,37639.659999999996,0.03,Supplier_0264,IT Services,Algeria
SUP00144,7,36892.9,0.03,Supplier_0144,Maintenance,Algeria
SUP00050,6,35794.01,0.03,Supplier_0050,Telecom,Algeria
SUP00166,7,35697.53,0.03,Supplier_0166,Facilities,France
SUP00041,5,25242.83,0.02,Supplier_0041,Logistics,Turkey
SUP00189,6,24433.21,0.02,Supplier_0189,Telecom,Germany
SUP00077,3,19720.02,0.02,Supplier_0077,Maintenance,Algeria
SUP00121,3,19682.9,0.02,Supplier_0121,Consulting,Germany
SUP00221,5,9842.45,0.01,Supplier_0221,Professional Services,Algeria
SUP00071,1,1124.33,0.0,Supplier_0071,Telecom,Algeria
