invoice_id,invoice_number,supplier_id,department_id,po_id,invoice_date,invoice_amount,currency,payment_terms_days,due_date,invoice_status,missing_po_flag,round_amount_flag,high_value_invoice_flag,invoice_due_days,duplicate_invoice_flag
INV0000031,FCT-592628,SUP00010,DPT004,PO0002155,2024-10-15,100000.0,EUR,45,2024-11-29,Validated,0,1,1,45,0
INV0000032,FCT-475442,SUP00123,DPT002,,2024-02-17,912.88,EUR,15,2024-03-03,Validated,1,0,0,15,0
INV0000033,FCT-288074,SUP00002,DPT001,PO0001857,2024-07-06,75918.41,DZD,30,2024-08-05,Validated,0,0,0,30,0
INV0000034,FCT-561966,SUP00132,DPT011,PO0004249,2024-02-08,3567.23,DZD,15,2024-02-23,Validated,0,0,0,15,0
INV0000035,FCT-597132,SUP00008,DPT011,PO0002360,2024-04-26,1635.84,EUR,30,2024-05-26,Validated,0,0,0,30,0
INV0000036,FCT-140127,SUP00154,DPT002,PO0004088,2024-12-11,12016.55,DZD,30,2025-01-10,Validated,0,0,0,30,0
INV0000037,FCT-677881,SUP00003,DPT010,PO0004462,2024-03-07,7442.53,DZD,30,2024-04-06,Validated,0,0,0,30,0
INV0000038,FCT-137401,SUP00210,DPT004,PO0002070,2024-02-29,11275.96,DZD,30,2024-03-30,Validated,0,0,0,30,0
INV0000039,FCT-829719,SUP00005,DPT005,PO0001021,2024-12-04,12736.26,DZD,30,2025-01-03,Validated,0,0,0,30,0
INV0000040,FCT-561509,SUP00001,DPT002,PO0001711,2024-01-27,21197.21,EUR,30,2024-02-26,Validated,0,0,0,30,0
INV0000041,FCT-548582,SUP00098,DPT001,,2024-12-17,1764.33,EUR,30,2025-01-16,Pending Review,1,0,0,30,0
INV0000042,FCT-462796,SUP00122,DPT005,PO0003996,2024-09-30,7105.06,DZD,30,2024-10-30,Pending Review,0,0,0,30,0
INV0000043,FCT-937367,SUP00059,DPT005,PO0004110,2024-05-18,976.62,DZD,30,2024-06-17,Pending Review,0,0,0,30,0
INV0000044,FCT-773252,SUP00205,DPT006,PO0002361,2024-08-24,25000.0,DZD,30,2024-09-23,Validated,0,1,0,30,0
INV0000045,FCT-920219,SUP00014,DPT005,PO0005148,2024-08-04,12981.12,DZD,30,2024-09-03,Validated,0,0,0,30,0
INV0000046,FCT-843368,SUP00029,DPT001,PO0002439,2024-08-20,2144.17,DZD,30,2024-09-19,Validated,0,0,0,30,0
INV0000047,FCT-835194,SUP00006,DPT009,,2024-03-09,78080.93,USD,60,2024-05-08,Validated,1,0,0,60,0
INV0000048,FCT-850415,SUP00124,DPT005,PO0003853,2024-11-21,6128.68,USD,30,2024-12-21,Pending Review,0,0,0,30,0
INV0000049,FCT-599651,SUP00141,DPT010,PO0002572,2024-06-19,748.54,DZD,30,2024-07-19,Validated,0,0,0,30,0
INV0000050,FCT-387511,SUP00028,DPT004,PO0004698,2024-08-31,13507.8,EUR,45,2024-10-15,Validated,0,0,0,45,0
INV0000051,FCT-270471,SUP00288,DPT002,PO0005068,2024-09-17,77128.02,DZD,15,2024-10-02,Validated,0,0,0,15,0
INV0000052,FCT-345708,SUP00030,DPT004,PO0002641,2024-08-31,458.57,DZD,60,2024-10-30,Validated,0,0,0,60,0
INV0000053,FCT-685759,SUP00002,DPT012,PO0000124,2024-06-27,13651.52,DZD,45,2024-08-11,Validated,0,0,0,45,0
INV0000054,FCT-478794,SUP00003,DPT005,PO0003866,2024-06-15,1924.18,DZD,30,2024-07-15,Pending Review,0,0,0,30,0
INV0000055,FCT-735374,SUP00005,DPT004,PO0003009,2024-07-27,5641.25,DZD,45,2024-09-10,Validated,0,0,0,45,0
INV0000056,FCT-614731,SUP00009,DPT003,PO0005126,2024-07-25,1332.02,DZD,30,2024-08-24,Validated,0,0,0,30,0
INV0000057,FCT-545167,SUP00094,DPT012,PO0001818,2024-10-24,16018.91,DZD,15,2024-11-08,Validated,0,0,0,15,0
INV0000058,FCT-310858,SUP00004,DPT006,PO0002876,2024-10-06,4162.26,DZD,30,2024-11-05,Validated,0,0,0,30,0
INV0000059,FCT-970251,SUP00297,DPT004,PO0001775,2024-08-28,22798.39,DZD,30,2024-09-27,Validated,0,0,0,30,0
INV0000060,FCT-583338,SUP00002,DPT003,PO0001491,2024-05-11,1837.1,DZD,30,2024-06-10,Validated,0,0,0,30,0
INV0000061,FCT-187338,SUP00005,DPT004,PO0002961,2024-06-29,4733.53,DZD,30,2024-07-29,Validated,0,0,0,30,0
INV0000062,FCT-451974,SUP00238,DPT009,PO0001784,2024-01-14,419.55,DZD,45,2024-02-28,Validated,0,0,0,45,0
INV0000063,FCT-868781,SUP00001,DPT001,PO0004632,2024-04-10,119057.89,DZD,30,2024-05-10,Validated,0,0,1,30,0
INV0000064,FCT-386356,SUP00017,DPT005,PO0002912,2024-06-04,54589.98,DZD,30,2024-07-04,Pending Review,0,0,0,30,0
INV0000065,FCT-913411,SUP00005,DPT002,PO0002756,2024-08-07,73582.15,DZD,60,2024-10-06,Validated,0,0,0,60,0
INV0000066,FCT-330180,SUP00260,DPT005,PO0000814,2024-05-17,34998.83,DZD,30,2024-06-16,Validated,0,0,0,30,0
INV0000067,FCT-665336,SUP00076,DPT008,PO0002436,2024-01-20,3042.58,DZD,15,2024-02-04,Validated,0,0,0,15,0
INV0000068,FCT-563069,SUP00022,DPT003,PO0004741,2024-03-07,5705.78,DZD,60,2024-05-06,Validated,0,0,0,60,0
INV0000069,FCT-898986,SUP00006,DPT011,,2024-03-05,8393.04,DZD,60,2024-05-04,Pending Review,1,0,0,60,0
INV0000070,FCT-351836,SUP00007,DPT011,PO0000786,2024-09-15,9233.77,EUR,30,2024-10-15,Validated,0,0,0,30,0
INV0000071,FCT-290889,SUP00001,DPT001,PO0002383,2024-11-26,1703.03,DZD,15,2024-12-11,Pending Review,0,0,0,15,0
INV0000072,FCT-312859,SUP00005,DPT003,PO0000261,2024-10-20,1607.31,DZD,45,2024-12-04,Validated,0,0,0,45,0
INV0000073,FCT-410726,SUP00108,DPT003,PO0000369,2024-06-30,1289.95,DZD,90,2024-09-28,Validated,0,0,0,90,0
INV0000074,FCT-341282,SUP00086,DPT012,PO0003831,2024-02-27,3675.67,USD,15,2024-03-13,Validated,0,0,0,15,0
INV0000075,FCT-263249,SUP00214,DPT009,PO0002818,2024-11-28,4154.96,USD,15,2024-12-13,Validated,0,0,0,15,0
INV0000076,FCT-620708,SUP00019,DPT002,,2024-06-24,3566.81,USD,30,2024-07-24,Validated,1,0,0,30,0
INV0000077,FCT-382198,SUP00012,DPT009,,2024-10-03,8013.68,DZD,15,2024-10-18,Validated,1,0,0,15,0
INV0000078,FCT-240507,SUP00037,DPT001,,2024-04-29,1223.76,DZD,45,2024-06-13,Validated,1,0,0,45,0
INV0000079,FCT-248810,SUP00005,DPT010,PO0003829,2024-04-29,2247.26,DZD,30,2024-05-29,Validated,0,0,0,30,0
INV0000080,FCT-203263,SUP00036,DPT002,,2024-07-26,2503.97,DZD,45,2024-09-09,Validated,1,0,0,45,0
INV0000081,FCT-247459,SUP00007,DPT002,PO0002306,2024-09-13,15394.95,DZD,30,2024-10-13,Validated,0,0,0,30,0
INV0000082,FCT-947268,SUP00021,DPT004,PO0003170,2024-02-04,7533.49,DZD,30,2024-03-05,Validated,0,0,0,30,0
INV0000083,FCT-127720,SUP00307,DPT001,,2024-05-27,8856.68,DZD,30,2024-06-26,Validated,1,0,0,30,0
INV0000084,FCT-958190,SUP00016,DPT011,,2024-12-06,2050.76,DZD,30,2025-01-05,Validated,1,0,0,30,0
INV0000085,FCT-770224,SUP00264,DPT005,PO0004180,2024-08-07,6289.07,DZD,15,2024-08-22,Validated,0,0,0,15,0
INV0000086,FCT-354729,SUP00002,DPT011,PO0001327,2024-01-24,2463.71,DZD,45,2024-03-09,Validated,0,0,0,45,0
INV0000087,FCT-371927,SUP00029,DPT003,PO0002443,2024-08-24,2562.63,DZD,30,2024-09-23,Validated,0,0,0,30,0
INV0000088,FCT-182610,SUP00010,DPT009,PO0000188,2024-10-27,9182.12,EUR,30,2024-11-26,Validated,0,0,0,30,0
INV0000089,FCT-649963,SUP00009,DPT003,PO0000287,2024-11-07,2852.84,DZD,60,2025-01-06,Validated,0,0,0,60,0
INV0000090,FCT-166393,SUP00091,DPT012,PO0002681,2024-03-12,5316.97,DZD,90,2024-06-10,Validated,0,0,0,90,0
INV0000091,FCT-725045,SUP00001,DPT005,,2024-03-05,4401.17,DZD,45,2024-04-19,Disputed,1,0,0,45,0
INV0000092,FCT-511896,SUP00160,DPT011,PO0002612,2024-10-08,1555.63,DZD,60,2024-12-07,Validated,0,0,0,60,0
INV0000093,FCT-704010,SUP00236,DPT001,PO0003193,2024-11-20,3089.83,DZD,45,2025-01-04,Validated,0,0,0,45,0
INV0000094,FCT-958304,SUP00133,DPT008,PO0000915,2024-04-12,3147.22,USD,15,2024-04-27,Validated,0,0,0,15,0
INV0000095,FCT-937655,SUP00126,DPT009,PO0002212,2024-03-01,3870.22,DZD,45,2024-04-15,Validated,0,0,0,45,0
INV0000096,FCT-271754,SUP00222,DPT002,PO0002205,2024-10-15,754.95,DZD,45,2024-11-29,Validated,0,0,0,45,0
INV0000097,FCT-747794,SUP00030,DPT002,PO0000772,2024-10-05,2594.95,EUR,30,2024-11-04,Validated,0,0,0,30,0
INV0000098,FCT-598159,SUP00028,DPT003,,2024-11-30,17130.78,DZD,45,2025-01-14,Validated,1,0,0,45,0
INV0000099,FCT-654320,SUP00003,DPT007,PO0004227,2024-09-13,9926.83,DZD,90,2024-12-12,Pending Review,0,0,0,90,0
INV0000100,FCT-169866,SUP00021,DPT008,,2024-12-07,3791.91,DZD,60,2025-02-05,Validated,1,0,0,60,0
INV0000101,FCT-219104,SUP00215,DPT005,,2024-10-28,1545.8,DZD,30,2024-11-27,Validated,1,0,0,30,1
INV0000102,FCT-250238,SUP00200,DPT003,PO0002343,2024-11-11,6737.61,DZD,90,2025-02-09,Validated,0,0,0,90,0
INV0000103,FCT-119124,SUP00003,DPT002,PO0000844,2024-10-08,18266.66,DZD,30,2024-11-07,Validated,0,0,0,30,0
INV0000104,FCT-188612,SUP00006,DPT004,PO0002732,2024-06-04,34358.29,DZD,30,2024-07-04,Validated,0,0,0,30,0
INV0000105,FCT-752653,SUP00016,DPT010,,2024-02-09,3285.94,DZD,30,2024-03-10,Validated,1,0,0,30,0
INV0000106,FCT-390617,SUP00273,DPT001,PO0000824,2024-06-05,1773.84,DZD,30,2024-07-05,Validated,0,0,0,30,0
INV0000107,FCT-880702,SUP00267,DPT003,,2024-04-06,10446.52,DZD,30,2024-05-06,Validated,1,0,0,30,0
INV0000108,FCT-804461,SUP00189,DPT002,,2024-12-13,9072.24,EUR,30,2025-01-12,Pending Review,1,0,0,30,0
INV0000109,FCT-638918,SUP00073,DPT009,PO0003586,2024-05-10,6075.39,DZD,30,2024-06-09,Pending Review,0,0,0,30,0
INV0000110,FCT-430607,SUP00023,DPT006,,2024-11-21,20000.0,DZD,30,2024-12-21,Pending Review,1,1,0,30,0
INV0000111,FCT-991620,SUP00023,DPT011,PO0003319,2024-05-09,1332.53,DZD,30,2024-06-08,Validated,0,0,0,30,0
INV0000112,FCT-669110,SUP00113,DPT011,PO0002977,2024-06-26,13040.12,DZD,45,2024-08-10,Validated,0,0,0,45,0
INV0000113,FCT-899197,SUP00021,DPT005,,2024-09-11,16831.68,EUR,60,2024-11-10,Validated,1,0,0,60,0
INV0000114,FCT-343230,SUP00116,DPT011,PO0002300,2024-05-25,3968.04,DZD,30,2024-06-24,Disputed,0,0,0,30,0
INV0000115,FCT-944954,SUP00024,DPT002,PO0004644,2024-09-10,42921.24,DZD,45,2024-10-25,Validated,0,0,0,45,0
INV0000116,FCT-351599,SUP00251,DPT004,PO0000027,2024-02-04,7876.63,DZD,45,2024-03-20,Validated,0,0,0,45,0
INV0000117,FCT-757740,SUP00139,DPT003,PO0000492,2024-08-03,5000.0,DZD,30,2024-09-02,Validated,0,1,0,30,0
INV0000118,FCT-997561,SUP00178,DPT007,PO0002283,2024-05-11,1540.25,DZD,30,2024-06-10,Disputed,0,0,0,30,0
INV0000119,FCT-967212,SUP00009,DPT009,PO0003367,2024-03-04,849.34,DZD,30,2024-04-03,Validated,0,0,0,30,0
INV0000120,FCT-425444,SUP00007,DPT002,PO0004922,2024-06-20,3331.73,DZD,30,2024-07-20,Validated,0,0,0,30,0
INV0000121,FCT-640407,SUP00150,DPT002,PO0001652,2024-02-13,9173.42,DZD,60,2024-04-13,Validated,0,0,0,60,0
INV0000122,FCT-751862,SUP00005,DPT007,PO0002476,2024-10-30,87870.59,DZD,30,2024-11-29,Validated,0,0,0,30,0
INV0000123,FCT-521939,SUP00005,DPT010,PO0001218,2024-11-25,6487.92,DZD,30,2024-12-25,Validated,0,0,0,30,0
INV0000124,FCT-552742,SUP00023,DPT004,,2024-04-28,11862.01,DZD,30,2024-05-28,Pending Review,1,0,0,30,0
INV0000125,FCT-141209,SUP00007,DPT006,PO0000582,2024-05-03,2318.47,EUR,45,2024-06-17,Validated,0,0,0,45,0
INV0000126,FCT-175873,SUP00002,DPT002,PO0000444,2024-04-20,7630.82,DZD,30,2024-05-20,Validated,0,0,0,30,0
INV0000127,FCT-929635,SUP00006,DPT004,PO0002564,2024-11-03,6566.1,DZD,30,2024-12-03,Pending Review,0,0,0,30,0
INV0000128,FCT-168838,SUP00007,DPT002,,2024-01-10,2023.75,DZD,30,2024-02-09,Validated,1,0,0,30,0
INV0000129,FCT-455328,SUP00006,DPT002,PO0001241,2024-02-19,27970.63,DZD,30,2024-03-20,Validated,0,0,0,30,0
INV0000130,FCT-791540,SUP00219,DPT006,PO0002432,2024-01-15,5145.3,USD,30,2024-02-14,Pending Review,0,0,0,30,0
INV0000131,FCT-187297,SUP00167,DPT009,PO0003968,2024-08-14,21400.41,DZD,15,2024-08-29,Validated,0,0,0,15,0
INV0000132,FCT-883080,SUP00011,DPT006,PO0004002,2024-10-21,6069.88,DZD,30,2024-11-20,Validated,0,0,0,30,0
INV0000133,FCT-741122,SUP00024,DPT002,PO0004644,2024-09-03,4100.61,DZD,45,2024-10-18,Validated,0,0,0,45,0
INV0000134,FCT-490401,SUP00005,DPT005,PO0000883,2024-02-29,2444.34,DZD,30,2024-03-30,Validated,0,0,0,30,0
INV0000135,FCT-399714,SUP00128,DPT009,PO0003688,2024-05-25,4012.16,DZD,45,2024-07-09,Validated,0,0,0,45,0
INV0000136,FCT-183370,SUP00022,DPT011,PO0004982,2024-12-18,32351.08,DZD,45,2025-02-01,Pending Review,0,0,0,45,0
INV0000137,FCT-589431,SUP00174,DPT003,PO0004445,2024-10-29,2135.65,DZD,30,2024-11-28,Pending Review,0,0,0,30,0
INV0000138,FCT-790518,SUP00165,DPT002,PO0000011,2024-01-22,25000.0,EUR,30,2024-02-21,Validated,0,1,0,30,0
INV0000139,FCT-996811,SUP00013,DPT009,PO0001660,2024-02-25,4197.06,DZD,30,2024-03-26,Validated,0,0,0,30,0
INV0000140,FCT-344511,SUP00100,DPT002,PO0004581,2024-10-21,11824.38,DZD,30,2024-11-20,Validated,0,0,0,30,0
INV0000141,FCT-689397,SUP00010,DPT009,PO0001742,2024-08-26,7615.21,DZD,90,2024-11-24,Validated,0,0,0,90,0
INV0000142,FCT-125011,SUP00096,DPT005,PO0000324,2024-02-12,1295.58,DZD,30,2024-03-13,Validated,0,0,0,30,0
INV0000143,FCT-122513,SUP00016,DPT002,PO0000897,2024-03-31,7262.96,DZD,45,2024-05-15,Validated,0,0,0,45,0
INV0000144,FCT-270857,SUP00019,DPT003,PO0001602,2024-08-19,72445.93,DZD,45,2024-10-03,Validated,0,0,0,45,0
INV0000145,FCT-150103,SUP00153,DPT010,PO0001145,2024-10-17,8549.26,EUR,30,2024-11-16,Validated,0,0,0,30,0
INV0000146,FCT-372035,SUP00010,DPT004,PO0001819,2024-10-03,17433.03,DZD,30,2024-11-02,Validated,0,0,0,30,0
INV0000147,FCT-621714,SUP00203,DPT003,PO0001185,2024-01-30,8449.07,DZD,45,2024-03-15,Disputed,0,0,0,45,0
INV0000148,FCT-246889,SUP00011,DPT002,PO0004464,2024-03-23,14860.49,USD,30,2024-04-22,Validated,0,0,0,30,0
INV0000149,FCT-145714,SUP00002,DPT010,PO0004699,2024-07-20,2628.76,DZD,30,2024-08-19,Validated,0,0,0,30,0
INV0000150,FCT-442494,SUP00006,DPT003,,2024-07-23,5220.53,DZD,60,2024-09-21,Validated,1,0,0,60,0
INV0000151,FCT-105649,SUP00003,DPT003,PO0003476,2024-12-21,16516.04,USD,30,2025-01-20,Validated,0,0,0,30,0
INV0000152,FCT-662478,SUP00286,DPT010,PO0000667,2024-10-11,4013.06,DZD,30,2024-11-10,Validated,0,0,0,30,0
INV0000153,FCT-389114,SUP00164,DPT011,PO0000865,2024-04-12,20598.79,DZD,60,2024-06-11,Validated,0,0,0,60,0
INV0000154,FCT-797780,SUP00272,DPT006,PO0003822,2024-03-03,1893.02,EUR,30,2024-04-02,Validated,0,0,0,30,0
INV0000155,FCT-151053,SUP00059,DPT007,PO0000092,2024-01-17,6422.94,DZD,45,2024-03-02,Validated,0,0,0,45,0
INV0000156,FCT-409489,SUP00010,DPT009,PO0001742,2024-07-09,4457.3,DZD,45,2024-08-23,Validated,0,0,0,45,0
INV0000157,FCT-871295,SUP00009,DPT003,,2024-02-24,124743.75,USD,30,2024-03-25,Validated,1,0,1,30,0
INV0000158,FCT-421891,SUP00173,DPT004,,2024-07-13,3834.32,DZD,30,2024-08-12,Pending Review,1,0,0,30,0
INV0000159,FCT-435740,SUP00185,DPT011,PO0000657,2024-08-18,9732.77,USD,45,2024-10-02,Validated,0,0,0,45,0
INV0000160,FCT-128976,SUP00239,DPT001,PO0002778,2024-10-07,607.83,DZD,60,2024-12-06,Validated,0,0,0,60,0
INV0000161,FCT-531928,SUP00006,DPT003,PO0003102,2024-07-12,1567.13,DZD,30,2024-08-11,Disputed,0,0,0,30,0
INV0000162,FCT-735182,SUP00054,DPT002,PO0000858,2024-05-11,8532.37,USD,30,2024-06-10,Validated,0,0,0,30,0
INV0000163,FCT-782948,SUP00218,DPT009,PO0001649,2024-11-06,4431.64,EUR,30,2024-12-06,Validated,0,0,0,30,0
INV0000164,FCT-241938,SUP00158,DPT006,PO0001256,2024-08-23,4530.8,DZD,45,2024-10-07,Validated,0,0,0,45,0
INV0000165,FCT-397938,SUP00005,DPT012,,2024-08-30,4131.01,DZD,30,2024-09-29,Validated,1,0,0,30,0
INV0000166,FCT-164346,SUP00130,DPT001,PO0005135,2024-12-12,4852.36,EUR,30,2025-01-11,Validated,0,0,0,30,0
INV0000167,FCT-390370,SUP00021,DPT003,PO0000727,2024-12-15,838.64,DZD,30,2025-01-14,Validated,0,0,0,30,0
INV0000168,FCT-917429,SUP00022,DPT003,PO0000756,2024-09-15,5432.82,DZD,45,2024-10-30,Validated,0,0,0,45,0
INV0000169,FCT-341749,SUP00020,DPT002,PO0001382,2024-02-26,4664.79,DZD,15,2024-03-12,Validated,0,0,0,15,0
INV0000170,FCT-548653,SUP00013,DPT011,PO0000673,2024-01-07,20464.57,USD,30,2024-02-06,Validated,0,0,0,30,0
INV0000171,FCT-978715,SUP00022,DPT009,PO0001016,2024-07-31,15684.36,DZD,45,2024-09-14,Validated,0,0,0,45,0
INV0000172,FCT-954817,SUP00269,DPT004,PO0000105,2024-02-25,232.05,DZD,15,2024-03-11,Validated,0,0,0,15,0
INV0000173,FCT-288612,SUP00038,DPT006,PO0001139,2024-11-29,2579.02,DZD,30,2024-12-29,Validated,0,0,0,30,0
INV0000174,FCT-477991,SUP00003,DPT001,PO0001939,2024-05-25,47687.1,DZD,30,2024-06-24,Validated,0,0,0,30,0
INV0000175,FCT-715748,SUP00006,DPT004,PO0003164,2024-04-03,17014.23,DZD,45,2024-05-18,Validated,0,0,0,45,0
INV0000176,FCT-989933,SUP00004,DPT007,PO0003619,2024-05-27,10556.38,DZD,45,2024-07-11,Validated,0,0,0,45,0
INV0000177,FCT-680338,SUP00056,DPT001,,2024-09-14,3367.28,DZD,30,2024-10-14,Validated,1,0,0,30,0
INV0000178,FCT-790149,SUP00089,DPT006,PO0004976,2024-04-30,10000.0,EUR,30,2024-05-30,Validated,0,1,0,30,0
INV0000179,FCT-515278,SUP00008,DPT012,PO0002353,2024-02-18,1050.9,DZD,30,2024-03-19,Pending Review,0,0,0,30,0
INV0000180,FCT-217870,SUP00025,DPT011,,2024-06-10,3131.22,DZD,30,2024-07-10,Validated,1,0,0,30,0
INV0000181,FCT-785998,SUP00019,DPT012,PO0000234,2024-06-21,8924.57,DZD,30,2024-07-21,Validated,0,0,0,30,0
INV0000182,FCT-457424,SUP00171,DPT005,PO0000130,2024-12-10,12073.32,EUR,45,2025-01-24,Validated,0,0,0,45,0
INV0000183,FCT-262316,SUP00122,DPT006,,2024-01-25,7699.07,DZD,30,2024-02-24,Validated,1,0,0,30,0
INV0000184,FCT-551221,SUP00007,DPT003,PO0004374,2024-10-20,9439.05,DZD,30,2024-11-19,Validated,0,0,0,30,0
INV0000185,FCT-171301,SUP00025,DPT005,PO0000497,2024-04-17,7250.4,DZD,30,2024-05-17,Validated,0,0,0,30,0
INV0000186,FCT-714987,SUP00012,DPT003,PO0000742,2024-02-20,4177.45,DZD,45,2024-04-05,Validated,0,0,0,45,0
INV0000187,FCT-675056,SUP00010,DPT012,PO0001472,2024-02-17,28051.6,DZD,15,2024-03-03,Pending Review,0,0,0,15,0
INV0000188,FCT-500892,SUP00003,DPT008,,2024-06-11,50465.89,USD,45,2024-07-26,Validated,1,0,0,45,0
INV0000189,FCT-334832,SUP00282,DPT010,PO0002223,2024-08-19,5662.33,DZD,30,2024-09-18,Validated,0,0,0,30,0
INV0000190,FCT-528362,SUP00213,DPT001,PO0003932,2024-09-05,1553.78,DZD,45,2024-10-20,Validated,0,0,0,45,0
INV0000191,FCT-886972,SUP00141,DPT010,PO0002572,2024-10-04,4581.76,DZD,30,2024-11-03,Validated,0,0,0,30,0
INV0000192,FCT-359397,SUP00017,DPT002,,2024-02-29,6633.4,DZD,90,2024-05-29,Pending Review,1,0,0,90,0
INV0000193,FCT-613694,SUP00038,DPT012,PO0001139,2024-08-10,472.73,DZD,15,2024-08-25,Validated,0,0,0,15,0
INV0000194,FCT-594402,SUP00022,DPT009,PO0001016,2024-01-19,27980.02,DZD,30,2024-02-18,Validated,0,0,0,30,0
INV0000195,FCT-265946,SUP00004,DPT006,PO0001586,2024-06-06,20000.0,DZD,30,2024-07-06,Validated,0,1,0,30,0
INV0000196,FCT-579755,SUP00122,DPT009,PO0002532,2024-12-15,2319.72,DZD,30,2025-01-14,Validated,0,0,0,30,0
INV0000197,FCT-356343,SUP00006,DPT011,PO0002855,2024-08-10,4062.32,DZD,30,2024-09-09,Validated,0,0,0,30,0
INV0000198,FCT-859105,SUP00319,DPT006,PO0004548,2024-10-13,3485.4,DZD,45,2024-11-27,Validated,0,0,0,45,0
INV0000199,FCT-637380,SUP00078,DPT009,PO0003015,2024-01-20,6407.23,DZD,15,2024-02-04,Validated,0,0,0,15,0
INV0000200,FCT-605569,SUP00006,DPT002,PO0000416,2024-11-19,14884.93,EUR,15,2024-12-04,Pending Review,0,0,0,15,0
INV0000201,FCT-938617,SUP00001,DPT003,PO0000535,2024-05-17,26026.77,DZD,45,2024-07-01,Validated,0,0,0,45,0
