payment_id,invoice_id,supplier_id,department_id,payment_date,payment_amount,payment_method,payment_status,payment_weekday,weekend_payment_flag,cash_payment_flag,pending_or_failed_payment_flag
PAY0000036,INV0000037,SUP00015,DPT012,2024-04-30,7388.21,Card,Completed,Tuesday,0,0,0
PAY0000037,INV0000038,SUP00297,DPT002,2024-03-21,11344.64,Bank Transfer,Completed,Thursday,0,0,0
PAY0000038,INV0000039,SUP00117,DPT010,2025-01-11,12635.97,Bank Transfer,Completed,Saturday,1,0,0
PAY0000039,INV0000040,SUP00281,DPT003,2024-02-16,21657.03,Check,Completed,Friday,0,0,0
PAY0000040,INV0000041,SUP00098,DPT001,2025-03-21,1776.92,Bank Transfer,Completed,Friday,0,0,0
PAY0000041,INV0000042,SUP00009,DPT001,2024-10-30,6962.76,Bank Transfer,Pending,Wednesday,0,0,1
PAY0000042,INV0000043,SUP00019,DPT002,2024-06-22,982.5,Bank Transfer,Completed,Saturday,1,0,0
PAY0000043,INV0000044,SUP00237,DPT009,2024-10-15,24978.39,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000044,INV0000045,SUP00029,DPT010,2024-08-24,12529.33,Check,Completed,Saturday,1,0,0
PAY0000045,INV0000046,SUP00149,DPT001,2024-10-29,2193.07,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000046,INV0000047,SUP00006,DPT009,2024-06-04,76890.15,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000047,INV0000048,SUP00020,DPT008,2024-11-27,6138.93,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000048,INV0000049,SUP00226,DPT001,2024-07-30,752.84,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000049,INV0000050,SUP00286,DPT008,2024-09-29,13511.2,Bank Transfer,Completed,Sunday,1,0,0
PAY0000050,INV0000051,SUP00012,DPT001,2024-10-13,78033.41,Bank Transfer,Completed,Sunday,1,0,0
PAY0000051,INV0000052,SUP00006,DPT002,2024-10-09,464.55,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000052,INV0000053,SUP00001,DPT005,2024-09-06,13690.25,Bank Transfer,Completed,Friday,0,0,0
PAY0000053,INV0000054,SUP00005,DPT011,2024-08-10,1896.58,Check,Completed,Saturday,1,0,0
PAY0000054,INV0000055,SUP00224,DPT001,2024-09-06,5649.78,Bank Transfer,Completed,Friday,0,0,0
PAY0000055,INV0000056,SUP00025,DPT003,2024-09-01,1355.48,Bank Transfer,Completed,Sunday,1,0,0
PAY0000056,INV0000057,SUP00010,DPT005,2024-10-21,15987.37,Bank Transfer,Completed,Monday,0,0,0
PAY0000057,INV0000058,SUP00188,DPT008,2024-10-31,4070.82,Bank Transfer,Completed,Thursday,0,0,0
PAY0000058,INV0000059,SUP00199,DPT011,2024-09-29,23188.68,Bank Transfer,Completed,Sunday,1,0,0
PAY0000059,INV0000060,SUP00016,DPT004,2024-05-17,1824.31,Bank Transfer,Completed,Friday,0,0,0
PAY0000060,INV0000061,SUP00262,DPT009,2024-09-01,4795.95,Bank Transfer,Completed,Sunday,1,0,0
PAY0000061,INV0000062,SUP00026,DPT006,2024-03-06,416.08,Bank Transfer,Failed,Wednesday,0,0,1
PAY0000062,INV0000063,SUP00009,DPT002,2024-06-06,119971.01,Check,Completed,Thursday,0,0,0
PAY0000063,INV0000064,SUP00261,DPT005,2024-07-06,54373.17,Bank Transfer,Completed,Saturday,1,0,0
PAY0000064,INV0000065,SUP00006,DPT003,2024-09-28,72894.58,Bank Transfer,Completed,Saturday,1,0,0
PAY0000065,INV0000066,SUP00318,DPT007,2024-06-22,35255.32,Bank Transfer,Completed,Saturday,1,0,0
PAY0000066,INV0000067,SUP00092,DPT003,2024-02-26,3006.36,Bank Transfer,Completed,Monday,0,0,0
PAY0000067,INV0000068,SUP00271,DPT002,2024-04-28,5556.69,Bank Transfer,Completed,Sunday,1,0,0
PAY0000068,INV0000069,SUP00006,DPT011,2024-05-13,8483.63,Check,Completed,Monday,0,0,0
PAY0000069,INV0000070,SUP00019,DPT011,2024-10-09,9153.23,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000070,INV0000071,SUP00246,DPT004,2024-11-07,1710.26,Bank Transfer,Completed,Thursday,0,0,0
PAY0000071,INV0000072,SUP00224,DPT008,2024-12-02,1613.19,Bank Transfer,Pending,Monday,0,0,1
PAY0000072,INV0000073,SUP00245,DPT012,2024-10-05,1303.09,Bank Transfer,Completed,Saturday,1,0,0
PAY0000073,INV0000075,SUP00095,DPT006,2024-12-18,4210.98,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000074,INV0000076,SUP00019,DPT002,2024-07-23,3592.79,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000075,INV0000077,SUP00012,DPT009,2024-10-24,8088.06,Bank Transfer,Completed,Thursday,0,0,0
PAY0000076,INV0000078,SUP00037,DPT001,2024-06-06,1240.46,Bank Transfer,Completed,Thursday,0,0,0
PAY0000077,INV0000079,SUP00152,DPT009,2024-06-11,2229.01,Check,Completed,Tuesday,0,0,0
PAY0000078,INV0000080,SUP00036,DPT002,2024-09-05,2480.7,Bank Transfer,Completed,Thursday,0,0,0
PAY0000079,INV0000081,SUP00008,DPT004,2024-11-01,15532.51,Bank Transfer,Completed,Friday,0,0,0
PAY0000080,INV0000083,SUP00307,DPT001,2024-06-06,8630.12,Check,Completed,Thursday,0,0,0
PAY0000081,INV0000084,SUP00016,DPT011,2025-01-11,2011.72,Bank Transfer,Completed,Saturday,1,0,0
PAY0000082,INV0000085,SUP00232,DPT002,2024-09-04,6131.43,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000083,INV0000086,SUP00240,DPT004,2024-04-05,2504.6,Bank Transfer,Completed,Friday,0,0,0
PAY0000084,INV0000087,SUP00009,DPT008,2024-09-18,2604.3,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000085,INV0000089,SUP00284,DPT006,2025-01-31,2888.09,Bank Transfer,Completed,Friday,0,0,0
PAY0000086,INV0000090,SUP00167,DPT005,2024-06-22,5320.53,Bank Transfer,Completed,Saturday,1,0,0
PAY0000087,INV0000091,SUP00001,DPT005,2024-05-24,4371.26,Bank Transfer,Pending,Friday,0,0,1
PAY0000088,INV0000092,SUP00087,DPT007,2024-11-15,1550.29,Cash,Completed,Friday,0,1,0
PAY0000089,INV0000094,SUP00095,DPT003,2024-05-06,3165.17,Bank Transfer,Completed,Monday,0,0,0
PAY0000090,INV0000095,SUP00001,DPT002,2024-04-20,3910.52,Bank Transfer,Completed,Saturday,1,0,0
PAY0000091,INV0000096,SUP00004,DPT011,2024-12-06,742.33,Bank Transfer,Completed,Friday,0,0,0
PAY0000092,INV0000097,SUP00203,DPT004,2024-11-24,2622.74,Check,Completed,Sunday,1,0,0
PAY0000093,INV0000098,SUP00028,DPT003,2025-02-12,17407.98,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000094,INV0000099,SUP00296,DPT001,2024-12-22,10048.17,Bank Transfer,Completed,Sunday,1,0,0
PAY0000095,INV0000100,SUP00021,DPT008,2025-01-11,3707.25,Bank Transfer,Completed,Saturday,1,0,0
PAY0000096,INV0000101,SUP00215,DPT005,2024-11-24,1562.97,Bank Transfer,Completed,Sunday,1,0,0
PAY0000097,INV0000102,SUP00002,DPT002,2025-04-11,6729.66,Bank Transfer,Completed,Friday,0,0,0
PAY0000098,INV0000103,SUP00227,DPT010,2024-10-25,18694.2,Bank Transfer,Completed,Friday,0,0,0
PAY0000099,INV0000104,SUP00237,DPT011,2024-07-11,34292.22,Bank Transfer,Completed,Thursday,0,0,0
PAY0000100,INV0000105,SUP00016,DPT010,2024-03-27,3340.26,Check,Completed,Wednesday,0,0,0
PAY0000101,INV0000106,SUP00011,DPT005,2024-09-15,1812.79,Bank Transfer,Completed,Sunday,1,0,0
PAY0000102,INV0000108,SUP00189,DPT002,2025-01-05,9182.7,Bank Transfer,Completed,Sunday,1,0,0
PAY0000103,INV0000109,SUP00083,DPT003,2024-07-09,6025.39,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000104,INV0000111,SUP00269,DPT002,2024-07-04,1342.17,Bank Transfer,Completed,Thursday,0,0,0
PAY0000105,INV0000112,SUP00171,DPT004,2024-08-22,12882.56,Bank Transfer,Completed,Thursday,0,0,0
PAY0000106,INV0000113,SUP00021,DPT005,2024-10-29,16690.21,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000107,INV0000114,SUP00029,DPT008,2024-06-18,4037.25,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000108,INV0000115,SUP00004,DPT001,2024-10-17,42951.87,Bank Transfer,Completed,Thursday,0,0,0
PAY0000109,INV0000116,SUP00209,DPT010,2024-03-20,7860.21,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000110,INV0000117,SUP00227,DPT004,2024-10-01,5123.91,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000111,INV0000118,SUP00015,DPT005,2024-06-19,1572.66,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000112,INV0000119,SUP00011,DPT011,2024-04-18,835.63,Bank Transfer,Completed,Thursday,0,0,0
PAY0000113,INV0000121,SUP00006,DPT010,2024-04-20,9188.6,Bank Transfer,Completed,Saturday,1,0,0
PAY0000114,INV0000122,SUP00290,DPT009,2024-12-31,87354.76,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000115,INV0000123,SUP00178,DPT012,2025-02-25,6464.59,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000116,INV0000124,SUP00023,DPT004,2024-03-25,12048.92,Bank Transfer,Completed,Monday,0,0,0
PAY0000117,INV0000126,SUP00005,DPT001,2024-05-23,7708.87,Bank Transfer,Completed,Thursday,0,0,0
PAY0000118,INV0000127,SUP00149,DPT009,2024-12-07,6410.18,Bank Transfer,Pending,Saturday,1,0,1
PAY0000119,INV0000128,SUP00007,DPT002,2024-02-12,2057.99,Bank Transfer,Completed,Monday,0,0,0
PAY0000120,INV0000129,SUP00015,DPT003,2024-03-11,27779.56,Card,Completed,Monday,0,0,0
PAY0000121,INV0000130,SUP00295,DPT012,2024-04-15,5179.26,Bank Transfer,Completed,Monday,0,0,0
PAY0000122,INV0000131,SUP00073,DPT004,2024-10-26,21622.16,Bank Transfer,Completed,Saturday,1,0,0
PAY0000123,INV0000132,SUP00207,DPT002,2024-11-17,6138.7,Bank Transfer,Failed,Sunday,1,0,1
PAY0000124,INV0000133,SUP00004,DPT008,2024-10-26,4066.02,Bank Transfer,Completed,Saturday,1,0,0
PAY0000125,INV0000135,SUP00259,DPT005,2024-07-25,4038.92,Check,Completed,Thursday,0,0,0
PAY0000126,INV0000136,SUP00209,DPT002,2025-02-26,32768.89,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000127,INV0000137,SUP00157,DPT004,2024-12-17,2131.56,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000128,INV0000138,SUP00077,DPT001,2024-02-25,24830.37,Bank Transfer,Completed,Sunday,1,0,0
PAY0000129,INV0000139,SUP00009,DPT009,2024-04-07,4134.05,Bank Transfer,Completed,Sunday,1,0,0
PAY0000130,INV0000140,SUP00076,DPT003,2024-11-03,12145.04,Bank Transfer,Completed,Sunday,1,0,0
PAY0000131,INV0000141,SUP00002,DPT003,2024-11-13,7478.84,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000132,INV0000142,SUP00007,DPT012,2024-04-17,1277.65,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000133,INV0000143,SUP00036,DPT009,2024-06-07,7288.91,Bank Transfer,Completed,Friday,0,0,0
PAY0000134,INV0000144,SUP00001,DPT005,2024-09-11,71371.99,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000135,INV0000145,SUP00008,DPT011,2024-11-08,8780.71,Check,Completed,Friday,0,0,0
PAY0000136,INV0000146,SUP00005,DPT002,2025-02-28,17116.69,Bank Transfer,Completed,Friday,0,0,0
PAY0000137,INV0000147,SUP00014,DPT005,2024-03-05,8473.39,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000138,INV0000148,SUP00237,DPT011,2024-03-24,15067.47,Bank Transfer,Completed,Sunday,1,0,0
PAY0000139,INV0000149,SUP00289,DPT005,2024-08-14,2581.58,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000140,INV0000150,SUP00006,DPT003,2024-09-16,5158.13,Bank Transfer,Completed,Monday,0,0,0
PAY0000141,INV0000151,SUP00008,DPT009,2025-02-14,16546.78,Bank Transfer,Completed,Friday,0,0,0
PAY0000142,INV0000152,SUP00230,DPT002,2024-11-30,3973.88,Bank Transfer,Completed,Saturday,1,0,0
PAY0000143,INV0000153,SUP00006,DPT002,2024-06-07,20730.17,Bank Transfer,Completed,Friday,0,0,0
PAY0000144,INV0000154,SUP00168,DPT008,2024-04-06,1886.87,Check,Completed,Saturday,1,0,0
PAY0000145,INV0000155,SUP00003,DPT001,2024-03-12,6433.74,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000146,INV0000156,SUP00113,DPT001,2024-10-26,4503.12,Bank Transfer,Completed,Saturday,1,0,0
PAY0000147,INV0000157,SUP00009,DPT003,2024-03-23,123115.39,Bank Transfer,Completed,Saturday,1,0,0
PAY0000148,INV0000158,SUP00173,DPT004,2024-08-22,3834.8,Check,Pending,Thursday,0,0,1
PAY0000149,INV0000159,SUP00037,DPT004,2024-11-02,9699.81,Bank Transfer,Completed,Saturday,1,0,0
PAY0000150,INV0000160,SUP00006,DPT008,2024-12-08,599.58,Bank Transfer,Completed,Sunday,1,0,0
PAY0000151,INV0000161,SUP00020,DPT005,2024-08-18,1586.26,Bank Transfer,Completed,Sunday,1,0,0
PAY0000152,INV0000162,SUP00034,DPT007,2024-08-30,8320.62,Bank Transfer,Completed,Friday,0,0,0
PAY0000153,INV0000163,SUP00318,DPT001,2024-12-01,4341.55,Bank Transfer,Completed,Sunday,1,0,0
PAY0000154,INV0000164,SUP00028,DPT003,2024-09-26,4577.27,Bank Transfer,Failed,Thursday,0,0,1
PAY0000155,INV0000165,SUP00005,DPT012,2024-10-11,4043.81,Bank Transfer,Completed,Friday,0,0,0
PAY0000156,INV0000167,SUP00008,DPT002,2025-01-29,860.2,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000157,INV0000168,SUP00249,DPT012,2024-11-03,5313.35,Bank Transfer,Completed,Sunday,1,0,0
PAY0000158,INV0000169,SUP00223,DPT004,2024-03-06,4771.1,Check,Completed,Wednesday,0,0,0
PAY0000159,INV0000170,SUP00005,DPT004,2024-02-03,20744.51,Bank Transfer,Completed,Saturday,1,0,0
PAY0000160,INV0000171,SUP00078,DPT002,2024-09-24,15308.92,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000161,INV0000172,SUP00141,DPT006,2024-02-24,232.17,Bank Transfer,Completed,Saturday,1,0,0
PAY0000162,INV0000173,SUP00009,DPT002,2025-03-02,2524.22,Bank Transfer,Failed,Sunday,1,0,1
PAY0000163,INV0000175,SUP00026,DPT008,2024-06-20,16803.71,Bank Transfer,Completed,Thursday,0,0,0
PAY0000164,INV0000176,SUP00028,DPT006,2024-06-19,10481.98,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000165,INV0000177,SUP00056,DPT001,2024-10-29,3262.89,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000166,INV0000178,SUP00067,DPT001,2024-06-18,9892.34,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000167,INV0000179,SUP00149,DPT009,2024-04-09,1047.04,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000168,INV0000180,SUP00025,DPT011,2024-06-15,3120.02,Bank Transfer,Completed,Saturday,1,0,0
PAY0000169,INV0000181,SUP00157,DPT002,2024-07-20,8734.45,Check,Completed,Saturday,1,0,0
PAY0000170,INV0000183,SUP00122,DPT006,2024-02-19,7642.22,Bank Transfer,Completed,Monday,0,0,0
PAY0000171,INV0000184,SUP00009,DPT009,2024-11-20,9464.1,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000172,INV0000185,SUP00050,DPT011,2024-04-30,7328.79,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000173,INV0000186,SUP00027,DPT007,2024-05-11,4334.28,Bank Transfer,Completed,Saturday,1,0,0
PAY0000174,INV0000187,SUP00010,DPT002,2024-06-18,28518.42,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000175,INV0000188,SUP00003,DPT008,2024-10-15,49762.83,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000176,INV0000189,SUP00032,DPT010,2024-09-13,5616.42,Bank Transfer,Completed,Friday,0,0,0
PAY0000177,INV0000191,SUP00019,DPT004,2024-12-07,4607.0,Bank Transfer,Completed,Saturday,1,0,0
PAY0000178,INV0000192,SUP00017,DPT002,2024-06-01,6759.5,Bank Transfer,Completed,Saturday,1,0,0
PAY0000179,INV0000193,SUP00104,DPT003,2024-09-22,485.08,Cash,Completed,Sunday,1,1,0
PAY0000180,INV0000194,SUP00313,DPT010,2024-03-06,27253.43,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000181,INV0000195,SUP00237,DPT001,2024-10-18,20296.62,Bank Transfer,Completed,Friday,0,0,0
PAY0000182,INV0000196,SUP00306,DPT008,2025-01-01,2274.83,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000183,INV0000198,SUP00003,DPT003,2024-11-11,3470.58,Bank Transfer,Completed,Monday,0,0,0
PAY0000184,INV0000199,SUP00010,DPT005,2024-02-17,6500.89,Bank Transfer,Completed,Saturday,1,0,0
PAY0000185,INV0000200,SUP00010,DPT001,2025-01-12,14698.64,Bank Transfer,Completed,Sunday,1,0,0
PAY0000186,INV0000201,SUP00003,DPT007,2024-10-08,25839.29,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000187,INV0000202,SUP00230,DPT003,2024-11-14,15329.15,Bank Transfer,Completed,Thursday,0,0,0
PAY0000188,INV0000204,SUP00087,DPT012,2024-11-18,5423.6,Bank Transfer,Completed,Monday,0,0,0
PAY0000189,INV0000205,SUP00256,DPT004,2024-08-18,6817.36,Bank Transfer,Completed,Sunday,1,0,0
PAY0000190,INV0000206,SUP00152,DPT001,2024-11-04,8309.11,Bank Transfer,Completed,Monday,0,0,0
PAY0000191,INV0000207,SUP00024,DPT009,2025-02-13,10277.17,Bank Transfer,Completed,Thursday,0,0,0
PAY0000192,INV0000208,SUP00005,DPT003,2024-08-28,6577.33,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000193,INV0000209,SUP00296,DPT002,2024-05-20,5472.95,Card,Completed,Monday,0,0,0
PAY0000194,INV0000210,SUP00139,DPT010,2024-06-19,17175.33,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000195,INV0000211,SUP00015,DPT002,2024-06-24,5072.76,Bank Transfer,Completed,Monday,0,0,0
PAY0000196,INV0000212,SUP00005,DPT006,2024-01-30,18026.3,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000197,INV0000213,SUP00202,DPT002,2024-09-05,20309.35,Bank Transfer,Completed,Thursday,0,0,0
PAY0000198,INV0000214,SUP00204,DPT007,2024-09-25,31830.99,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000199,INV0000215,SUP00051,DPT006,2024-08-22,7605.39,Bank Transfer,Completed,Thursday,0,0,0
PAY0000200,INV0000216,SUP00320,DPT004,2024-05-14,31618.34,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000201,INV0000217,SUP00018,DPT005,2024-06-24,4264.54,Bank Transfer,Completed,Monday,0,0,0
PAY0000202,INV0000218,SUP00286,DPT002,2025-02-13,8884.16,Bank Transfer,Completed,Thursday,0,0,0
PAY0000203,INV0000219,SUP00102,DPT001,2024-03-26,14535.28,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000204,INV0000220,SUP00165,DPT009,2024-09-14,1872.43,Bank Transfer,Completed,Saturday,1,0,0
PAY0000205,INV0000221,SUP00272,DPT010,2024-11-12,3738.3,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000206,INV0000222,SUP00221,DPT009,2025-03-13,2771.07,Bank Transfer,Completed,Thursday,0,0,0
PAY0000207,INV0000223,SUP00010,DPT007,2024-08-08,5702.94,Bank Transfer,Completed,Thursday,0,0,0
PAY0000208,INV0000224,SUP00242,DPT004,2024-08-21,3234.04,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000209,INV0000225,SUP00049,DPT005,2024-11-15,6991.15,Bank Transfer,Completed,Friday,0,0,0
PAY0000210,INV0000226,SUP00002,DPT007,2024-09-23,5334.24,Bank Transfer,Completed,Monday,0,0,0
PAY0000211,INV0000228,SUP00030,DPT004,2024-04-07,7184.99,Check,Completed,Sunday,1,0,0
PAY0000212,INV0000229,SUP00047,DPT002,2024-05-01,2763.14,Card,Completed,Wednesday,0,0,0
PAY0000213,INV0000230,SUP00021,DPT003,2024-05-31,2190.14,Bank Transfer,Completed,Friday,0,0,0
PAY0000214,INV0000231,SUP00003,DPT008,2024-11-29,4996.16,Bank Transfer,Completed,Friday,0,0,0
PAY0000215,INV0000232,SUP00006,DPT003,2024-09-04,742.52,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000216,INV0000233,SUP00177,DPT008,2024-10-22,2749.4,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000217,INV0000234,SUP00008,DPT012,2024-02-11,11080.59,Bank Transfer,Completed,Sunday,1,0,0
PAY0000218,INV0000235,SUP00101,DPT011,2025-01-02,4807.51,Bank Transfer,Completed,Thursday,0,0,0
PAY0000219,INV0000236,SUP00050,DPT009,2024-11-19,6140.28,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000220,INV0000237,SUP00008,DPT010,2024-04-15,3757.62,Bank Transfer,Completed,Monday,0,0,0
PAY0000221,INV0000238,SUP00010,DPT004,2024-02-12,54421.32,Cash,Completed,Monday,0,1,0
PAY0000222,INV0000239,SUP00018,DPT008,2024-09-29,7113.56,Check,Completed,Sunday,1,0,0
PAY0000223,INV0000240,SUP00250,DPT007,2024-12-30,3068.11,Bank Transfer,Completed,Monday,0,0,0
PAY0000224,INV0000241,SUP00286,DPT012,2024-12-23,1788.55,Check,Completed,Monday,0,0,0
PAY0000225,INV0000242,SUP00019,DPT005,2024-07-02,43233.2,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000226,INV0000243,SUP00002,DPT004,2025-03-12,1156.84,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000227,INV0000244,SUP00085,DPT009,2024-08-10,2472.37,Bank Transfer,Completed,Saturday,1,0,0
PAY0000228,INV0000245,SUP00022,DPT008,2024-08-26,2419.06,Check,Completed,Monday,0,0,0
PAY0000229,INV0000246,SUP00029,DPT001,2025-05-12,5725.03,Bank Transfer,Completed,Monday,0,0,0
PAY0000230,INV0000247,SUP00024,DPT006,2024-05-11,8927.81,Bank Transfer,Completed,Saturday,1,0,0
PAY0000231,INV0000248,SUP00117,DPT006,2024-12-18,6451.35,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000232,INV0000249,SUP00010,DPT006,2024-06-11,4017.1,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000233,INV0000250,SUP00257,DPT011,2024-05-08,1218.26,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000234,INV0000251,SUP00022,DPT006,2024-05-20,50691.82,Bank Transfer,Completed,Monday,0,0,0
PAY0000235,INV0000252,SUP00014,DPT010,2024-06-11,8263.75,Cash,Completed,Tuesday,0,1,0
PAY0000236,INV0000253,SUP00275,DPT003,2024-08-19,11664.84,Bank Transfer,Completed,Monday,0,0,0
PAY0000237,INV0000254,SUP00016,DPT001,2024-03-25,2750.66,Bank Transfer,Pending,Monday,0,0,1
