po_id,supplier_id,department_id,po_date,po_amount,approval_status,buyer
PO0000129,SUP00019,DPT005,2024-03-10,3775.93,Approved,Buyer_D
PO0000130,SUP00171,DPT005,2024-01-16,2376.03,Approved,Buyer_C
PO0000131,SUP00017,DPT001,2024-06-12,4838.24,Approved,Buyer_A
PO0000132,SUP00007,DPT010,2024-05-13,5910.99,Approved,Buyer_B
PO0000133,SUP00007,DPT006,2024-02-29,62890.23,Approved,Buyer_E
PO0000134,SUP00021,DPT008,2024-01-08,6712.54,Approved,Buyer_E
PO0000135,SUP00028,DPT004,2024-09-09,2466.24,Rejected,Buyer_C
PO0000136,SUP00239,DPT006,2024-09-18,7641.87,Pending,Buyer_E
PO0000137,SUP00109,DPT002,2024-03-23,10554.83,Approved,Buyer_E
PO0000138,SUP00138,DPT012,2024-06-14,2251.73,Approved,Buyer_D
PO0000139,SUP00310,DPT004,2024-03-25,12114.59,Approved,Buyer_B
PO0000140,SUP00021,DPT002,2024-05-16,27144.13,Approved,Buyer_C
PO0000141,SUP00020,DPT001,2024-02-06,9308.39,Approved,Buyer_E
PO0000142,SUP00275,DPT006,2024-11-12,3651.65,Approved,Buyer_B
PO0000143,SUP00009,DPT012,2024-08-29,4774.91,Pending,Buyer_D
PO0000144,SUP00161,DPT010,2024-10-28,1542.51,Approved,Buyer_E
PO0000145,SUP00176,DPT007,2024-04-09,7088.04,Pending,Buyer_D
PO0000146,SUP00004,DPT012,2024-10-19,11056.57,Approved,Buyer_D
PO0000147,SUP00027,DPT008,2024-06-22,3305.58,Approved,Buyer_B
PO0000148,SUP00007,DPT003,2024-03-07,56370.44,Approved,Buyer_C
PO0000149,SUP00007,DPT006,2024-04-21,17895.05,Approved,Buyer_A
PO0000150,SUP00026,DPT001,2024-09-28,1349.14,Approved,Buyer_A
PO0000151,SUP00010,DPT002,2024-09-16,1377.1,Approved,Buyer_D
PO0000152,SUP00200,DPT004,2024-08-29,3028.96,Approved,Buyer_B
PO0000153,SUP00266,DPT002,2024-03-16,39072.94,Approved,Buyer_C
PO0000154,SUP00204,DPT011,2024-08-05,19750.26,Approved,Buyer_C
PO0000155,SUP00009,DPT012,2024-11-11,41097.9,Approved,Buyer_C
PO0000156,SUP00009,DPT003,2024-01-17,8186.23,Approved,Buyer_E
PO0000157,SUP00009,DPT007,2024-04-17,6571.59,Approved,Buyer_C
PO0000158,SUP00005,DPT004,2024-01-27,2327.36,Approved,Buyer_F
PO0000159,SUP00287,DPT002,2024-02-04,11495.19,Approved,Buyer_C
PO0000160,SUP00020,DPT003,2024-11-30,6659.71,Approved,Buyer_F
PO0000161,SUP00008,DPT002,2024-03-21,6408.16,Approved,Buyer_F
PO0000162,SUP00230,DPT003,2024-03-01,40865.88,Approved,Buyer_C
PO0000163,SUP00020,DPT002,2024-01-25,7141.33,Approved,Buyer_E
PO0000164,SUP00002,DPT001,2024-11-24,30668.2,Approved,Buyer_C
PO0000165,SUP00006,DPT002,2024-06-06,1655.61,Approved,Buyer_F
PO0000166,SUP00108,DPT011,2024-09-22,119146.87,Approved,Buyer_E
PO0000167,SUP00192,DPT001,2024-03-24,5578.8,Approved,Buyer_C
PO0000168,SUP00007,DPT003,2024-08-02,16435.26,Approved,Buyer_B
PO0000169,SUP00272,DPT005,2024-10-23,19269.39,Approved,Buyer_F
PO0000170,SUP00233,DPT003,2024-08-12,4927.78,Approved,Buyer_D
PO0000171,SUP00231,DPT005,2024-06-22,18380.21,Approved,Buyer_E
PO0000172,SUP00008,DPT001,2024-03-11,19360.75,Approved,Buyer_E
PO0000173,SUP00002,DPT006,2024-03-19,3971.33,Approved,Buyer_A
PO0000174,SUP00242,DPT005,2024-07-18,4018.64,Rejected,Buyer_B
PO0000175,SUP00011,DPT007,2024-05-31,8478.65,Approved,Buyer_F
PO0000176,SUP00096,DPT005,2024-01-16,7219.25,Approved,Buyer_B
PO0000177,SUP00179,DPT004,2024-03-06,32634.66,Approved,Buyer_F
PO0000178,SUP00005,DPT003,2024-05-24,16361.2,Approved,Buyer_C
PO0000179,SUP00191,DPT002,2024-02-29,7552.07,Approved,Buyer_F
PO0000180,SUP00284,DPT004,2024-07-04,14854.79,Approved,Buyer_D
PO0000181,SUP00160,DPT001,2024-04-10,1046.65,Approved,Buyer_A
PO0000182,SUP00024,DPT003,2024-04-07,4379.5,Approved,Buyer_B
PO0000183,SUP00248,DPT007,2024-02-06,10805.61,Approved,Buyer_F
PO0000184,SUP00042,DPT001,2024-06-17,24719.94,Approved,Buyer_B
PO0000185,SUP00170,DPT001,2024-03-04,9894.85,Approved,Buyer_B
PO0000186,SUP00215,DPT006,2024-07-30,34830.16,Approved,Buyer_A
PO0000187,SUP00173,DPT004,2024-11-10,19301.53,Approved,Buyer_D
PO0000188,SUP00010,DPT009,2024-11-01,4972.46,Approved,Buyer_E
PO0000189,SUP00004,DPT011,2024-08-11,7044.27,Approved,Buyer_F
PO0000190,SUP00008,DPT011,2024-09-27,12190.62,Approved,Buyer_F
PO0000191,SUP00030,DPT004,2024-11-04,5173.81,Approved,Buyer_F
PO0000192,SUP00030,DPT002,2024-08-16,37469.79,Approved,Buyer_F
PO0000193,SUP00074,DPT006,2024-03-27,2673.85,Pending,Buyer_D
PO0000194,SUP00019,DPT006,2024-06-16,11115.62,Approved,Buyer_E
PO0000195,SUP00195,DPT006,2024-10-14,16906.39,Approved,Buyer_D
PO0000196,SUP00269,DPT003,2024-08-11,5922.73,Approved,Buyer_A
PO0000197,SUP00009,DPT001,2024-05-01,4727.73,Approved,Buyer_A
PO0000198,SUP00165,DPT002,2024-02-26,7509.46,Approved,Buyer_A
PO0000199,SUP00131,DPT002,2024-02-18,18251.43,Approved,Buyer_C
PO0000200,SUP00039,DPT001,2024-05-06,4915.52,Approved,Buyer_C
PO0000201,SUP00007,DPT011,2024-09-26,2782.43,Approved,Buyer_D
PO0000202,SUP00200,DPT001,2024-07-04,25606.07,Approved,Buyer_D
PO0000203,SUP00297,DPT006,2024-01-20,12079.88,Approved,Buyer_C
PO0000204,SUP00156,DPT011,2024-11-03,22200.22,Approved,Buyer_E
PO0000205,SUP00272,DPT003,2024-05-15,17315.06,Approved,Buyer_F
PO0000206,SUP00311,DPT005,2024-05-10,71674.43,Approved,Buyer_B
PO0000207,SUP00015,DPT007,2024-10-01,24710.22,Approved,Buyer_B
PO0000208,SUP00107,DPT003,2024-05-06,3928.14,Approved,Buyer_F
PO0000209,SUP00027,DPT004,2024-07-25,12968.36,Approved,Buyer_F
PO0000210,SUP00313,DPT009,2024-11-04,4640.19,Approved,Buyer_B
PO0000211,SUP00004,DPT008,2024-06-22,5145.48,Approved,Buyer_D
PO0000212,SUP00021,DPT009,2024-07-24,1973.37,Approved,Buyer_D
PO0000213,SUP00247,DPT012,2024-04-28,6086.86,Approved,Buyer_D
PO0000214,SUP00010,DPT003,2024-10-25,13975.13,Approved,Buyer_F
PO0000215,SUP00195,DPT008,2024-01-26,7585.38,Pending,Buyer_A
PO0000216,SUP00018,DPT006,2024-04-02,2698.99,Approved,Buyer_D
PO0000217,SUP00309,DPT007,2024-11-27,1766.9,Approved,Buyer_B
PO0000218,SUP00252,DPT008,2024-06-11,66959.68,Approved,Buyer_E
PO0000219,SUP00010,DPT008,2024-02-28,11216.72,Approved,Buyer_D
PO0000220,SUP00185,DPT010,2024-05-18,3554.36,Approved,Buyer_E
PO0000221,SUP00014,DPT003,2024-03-26,12858.8,Approved,Buyer_F
PO0000222,SUP00088,DPT006,2024-06-24,72343.88,Approved,Buyer_E
PO0000223,SUP00119,DPT003,2024-03-20,15070.02,Approved,Buyer_F
PO0000224,SUP00220,DPT006,2024-05-13,499.16,Approved,Buyer_E
PO0000225,SUP00001,DPT008,2024-10-31,114954.5,Approved,Buyer_D
PO0000226,SUP00008,DPT009,2024-01-28,1275.07,Approved,Buyer_C
PO0000227,SUP00151,DPT004,2024-09-12,6594.48,Approved,Buyer_C
PO0000228,SUP00063,DPT004,2024-01-27,2608.67,Approved,Buyer_C
PO0000229,SUP00029,DPT003,2024-06-02,3866.09,Pending,Buyer_D
PO0000230,SUP00002,DPT002,2024-08-11,10768.81,Rejected,Buyer_E
PO0000231,SUP00015,DPT002,2024-11-16,1021.45,Approved,Buyer_C
PO0000232,SUP00241,DPT011,2024-03-24,7403.84,Rejected,Buyer_D
PO0000233,SUP00002,DPT003,2024-01-18,25523.18,Approved,Buyer_C
PO0000234,SUP00019,DPT012,2024-09-08,3486.87,Approved,Buyer_D
PO0000235,SUP00288,DPT002,2024-10-26,2017.7,Approved,Buyer_E
PO0000236,SUP00002,DPT008,2024-07-08,7049.38,Approved,Buyer_C
PO0000237,SUP00173,DPT005,2024-01-21,5777.11,Approved,Buyer_C
PO0000238,SUP00009,DPT007,2024-06-16,4468.34,Approved,Buyer_B
PO0000239,SUP00242,DPT006,2024-05-11,2469.21,Approved,Buyer_C
PO0000240,SUP00171,DPT007,2024-05-31,13618.5,Approved,Buyer_C
PO0000241,SUP00253,DPT011,2024-01-19,14695.01,Approved,Buyer_A
PO0000242,SUP00008,DPT005,2024-04-16,2791.55,Approved,Buyer_F
PO0000243,SUP00044,DPT001,2024-11-30,3205.89,Approved,Buyer_F
PO0000244,SUP00190,DPT003,2024-01-16,9288.13,Rejected,Buyer_B
PO0000245,SUP00009,DPT007,2024-11-02,3087.23,Approved,Buyer_F
PO0000246,SUP00008,DPT004,2024-06-22,9688.18,Approved,Buyer_B
PO0000247,SUP00001,DPT005,2024-07-14,35173.44,Approved,Buyer_C
PO0000248,SUP00296,DPT006,2024-11-08,7632.55,Rejected,Buyer_A
PO0000249,SUP00149,DPT003,2024-03-13,2407.6,Approved,Buyer_D
PO0000250,SUP00105,DPT009,2024-11-25,11993.3,Approved,Buyer_C
PO0000251,SUP00169,DPT008,2024-04-02,6784.16,Approved,Buyer_B
PO0000252,SUP00044,DPT007,2024-04-26,6973.29,Approved,Buyer_B
PO0000253,SUP00027,DPT007,2024-05-30,13034.08,Approved,Buyer_F
PO0000254,SUP00025,DPT010,2024-07-20,16172.01,Approved,Buyer_E
PO0000255,SUP00108,DPT006,2024-04-18,8395.93,Approved,Buyer_A
PO0000256,SUP00007,DPT012,2024-09-22,7626.01,Approved,Buyer_A
PO0000257,SUP00254,DPT001,2024-01-08,63802.11,Rejected,Buyer_A
PO0000258,SUP00209,DPT006,2024-08-11,26918.09,Approved,Buyer_B
PO0000259,SUP00015,DPT007,2024-08-07,18648.97,Rejected,Buyer_E
PO0000260,SUP00072,DPT004,2024-06-28,9239.16,Approved,Buyer_A
PO0000261,SUP00005,DPT003,2024-07-24,2963.89,Approved,Buyer_B
PO0000262,SUP00304,DPT005,2024-09-07,25018.89,Approved,Buyer_A
PO0000263,SUP00263,DPT003,2024-10-29,9360.88,Approved,Buyer_D
PO0000264,SUP00274,DPT011,2024-03-14,4549.77,Approved,Buyer_E
PO0000265,SUP00013,DPT003,2024-06-08,6354.13,Approved,Buyer_D
PO0000266,SUP00006,DPT002,2024-07-07,3083.49,Approved,Buyer_F
PO0000267,SUP00007,DPT005,2024-04-25,23326.12,Approved,Buyer_E
PO0000268,SUP00003,DPT004,2024-11-22,16043.15,Approved,Buyer_E
PO0000269,SUP00004,DPT001,2024-06-20,9717.0,Approved,Buyer_B
PO0000270,SUP00003,DPT005,2024-07-17,7763.7,Approved,Buyer_F
PO0000271,SUP00314,DPT005,2024-03-06,4102.42,Approved,Buyer_D
PO0000272,SUP00003,DPT002,2024-05-19,962.88,Approved,Buyer_A
PO0000273,SUP00005,DPT006,2024-07-28,1972.53,Approved,Buyer_A
PO0000274,SUP00219,DPT005,2024-05-23,3855.88,Rejected,Buyer_F
PO0000275,SUP00073,DPT009,2024-09-14,3317.72,Approved,Buyer_B
PO0000276,SUP00187,DPT003,2024-02-15,10822.26,Pending,Buyer_C
PO0000277,SUP00103,DPT002,2024-02-21,18242.22,Approved,Buyer_E
PO0000278,SUP00251,DPT011,2024-04-23,7126.4,Approved,Buyer_E
PO0000279,SUP00107,DPT005,2024-04-16,33153.94,Approved,Buyer_A
PO0000280,SUP00039,DPT001,2024-09-30,3703.75,Approved,Buyer_D
PO0000281,SUP00151,DPT009,2024-10-17,7075.99,Approved,Buyer_F
PO0000282,SUP00024,DPT002,2024-06-07,7700.29,Approved,Buyer_C
PO0000283,SUP00015,DPT009,2024-06-18,24153.54,Pending,Buyer_D
PO0000284,SUP00026,DPT007,2024-04-08,9008.17,Approved,Buyer_B
PO0000285,SUP00006,DPT012,2024-06-27,9261.01,Approved,Buyer_E
PO0000286,SUP00200,DPT012,2024-08-24,1548.68,Approved,Buyer_A
PO0000287,SUP00009,DPT003,2024-08-30,3294.78,Approved,Buyer_D
PO0000288,SUP00006,DPT008,2024-11-20,24244.67,Approved,Buyer_C
PO0000289,SUP00009,DPT003,2024-07-12,1017.05,Approved,Buyer_D
PO0000290,SUP00227,DPT006,2024-04-24,31038.78,Approved,Buyer_C
PO0000291,SUP00013,DPT006,2024-01-24,13355.25,Approved,Buyer_F
PO0000292,SUP00135,DPT001,2024-08-18,3837.13,Approved,Buyer_F
PO0000293,SUP00236,DPT001,2024-09-26,3526.11,Approved,Buyer_B
PO0000294,SUP00003,DPT001,2024-07-04,53957.68,Approved,Buyer_A
PO0000295,SUP00182,DPT001,2024-11-05,33236.56,Rejected,Buyer_C
PO0000296,SUP00011,DPT002,2024-04-16,7190.81,Approved,Buyer_D
PO0000297,SUP00008,DPT011,2024-01-18,9270.49,Approved,Buyer_E
PO0000298,SUP00137,DPT005,2024-07-31,4246.37,Pending,Buyer_D
PO0000299,SUP00267,DPT009,2024-02-10,9272.27,Approved,Buyer_D
PO0000300,SUP00010,DPT009,2024-01-29,4130.26,Approved,Buyer_A
PO0000301,SUP00066,DPT008,2024-08-23,7491.0,Approved,Buyer_E
PO0000302,SUP00010,DPT004,2024-05-25,49529.78,Approved,Buyer_B
PO0000303,SUP00058,DPT010,2024-07-21,7364.2,Approved,Buyer_C
PO0000304,SUP00097,DPT008,2024-09-07,2841.19,Approved,Buyer_C
PO0000305,SUP00091,DPT008,2024-05-08,2066.53,Approved,Buyer_A
PO0000306,SUP00098,DPT011,2024-07-23,9201.46,Approved,Buyer_C
PO0000307,SUP00005,DPT006,2024-06-29,3786.15,Approved,Buyer_C
PO0000308,SUP00140,DPT005,2024-07-13,10369.28,Approved,Buyer_B
PO0000309,SUP00129,DPT010,2024-08-23,1604.39,Approved,Buyer_B
PO0000310,SUP00133,DPT004,2024-05-07,16159.29,Approved,Buyer_A
PO0000311,SUP00003,DPT009,2024-06-17,2806.9,Approved,Buyer_F
PO0000312,SUP00024,DPT001,2024-07-17,8487.05,Approved,Buyer_B
PO0000313,SUP00021,DPT001,2024-02-16,5777.33,Approved,Buyer_F
PO0000314,SUP00003,DPT005,2024-03-11,45179.06,Approved,Buyer_F
PO0000315,SUP00008,DPT001,2024-01-30,9618.94,Approved,Buyer_C
PO0000316,SUP00024,DPT012,2024-03-07,56696.74,Approved,Buyer_E
PO0000317,SUP00169,DPT001,2024-05-27,14196.38,Approved,Buyer_B
PO0000318,SUP00008,DPT007,2024-11-05,33705.15,Approved,Buyer_B
PO0000319,SUP00220,DPT002,2024-09-12,6576.13,Approved,Buyer_F
PO0000320,SUP00053,DPT012,2024-07-05,11447.23,Approved,Buyer_D
PO0000321,SUP00179,DPT003,2024-03-08,27409.46,Approved,Buyer_E
PO0000322,SUP00027,DPT001,2024-04-30,20029.47,Pending,Buyer_F
PO0000323,SUP00030,DPT001,2024-09-13,13780.27,Approved,Buyer_A
PO0000324,SUP00096,DPT005,2024-10-31,5837.54,Approved,Buyer_B
PO0000325,SUP00278,DPT012,2024-11-18,6913.45,Approved,Buyer_F
PO0000326,SUP00029,DPT012,2024-05-10,25277.3,Approved,Buyer_A
PO0000327,SUP00042,DPT003,2024-06-12,31129.5,Approved,Buyer_C
PO0000328,SUP00086,DPT004,2024-06-19,4478.92,Approved,Buyer_A
PO0000329,SUP00166,DPT001,2024-01-19,3851.59,Approved,Buyer_B
PO0000330,SUP00003,DPT005,2024-02-09,3280.88,Approved,Buyer_B
PO0000331,SUP00035,DPT006,2024-01-16,18577.39,Approved,Buyer_B
PO0000332,SUP00028,DPT002,2024-09-04,3198.78,Approved,Buyer_E
PO0000333,SUP00274,DPT006,2024-03-16,18354.01,Approved,Buyer_B
PO0000334,SUP00029,DPT010,2024-08-22,13984.3,Approved,Buyer_E
PO0000335,SUP00027,DPT001,2024-05-05,4698.08,Approved,Buyer_F
PO0000336,SUP00298,DPT002,2024-09-23,38710.23,Approved,Buyer_D
PO0000337,SUP00025,DPT002,2024-02-08,1877.58,Approved,Buyer_D
PO0000338,SUP00006,DPT001,2024-04-18,42596.72,Approved,Buyer_C
PO0000339,SUP00008,DPT002,2024-03-09,11146.56,Approved,Buyer_E
PO0000340,SUP00004,DPT006,2024-05-26,1018.96,Approved,Buyer_E
PO0000341,SUP00001,DPT001,2024-07-07,39810.25,Approved,Buyer_F
PO0000342,SUP00023,DPT008,2024-02-26,21422.83,Approved,Buyer_B
PO0000343,SUP00184,DPT010,2024-08-11,5280.56,Approved,Buyer_E
PO0000344,SUP00163,DPT011,2024-11-19,3088.0,Rejected,Buyer_A
PO0000345,SUP00002,DPT007,2024-01-15,1687.38,Approved,Buyer_C
PO0000346,SUP00067,DPT002,2024-01-29,90712.11,Approved,Buyer_A
PO0000347,SUP00006,DPT001,2024-11-14,3218.33,Approved,Buyer_D
